asset_name,asset_type_name,model_number,serial_number,asset_tag,qr_code,item_value,item_value_currency_code,purchase_cost,purchase_cost_currency_code,purchase_type_name,purchase_order_number,other_purchase_details,supplier_data,salvage_value,warranty,warranty_condition_type_name,warranty_expiry_date,warranty_usage_name,warranty_usage_value,insurance_number,insurance_expiry_date,expected_life_time,expected_life_time_unit_name,depreciation_value,depreciation_method_name,depreciation_start_date,decline_rate,total_estimated_units,manufacturer,responsible_person_name,department_name,latitude,longitude,received_condition_id,asset_category_name,asset_sub_category_name,asset_tags
Asset 1112,Intangible assets,DELL-MODEL-01112,SN-0000001112,TAG-001112,,2394.87,GBP,2209.65,GBP,Lease,PO-2025-1800,Purchase details for Asset 1112,"{""name"":""HP Enterprise"",""email"":""enterprise@hp.com"",""type"":""Company""}",288.68,4 years,Combined,2027-09-02,Days,28675,INS001112,2026-07-20,5,Day,421.24,Straightline,2025-09-02,16.44,65,Lenovo,Chamod Randeni,Negombo test,6.7782,79.9956,4,Network Equipment,Routers,"Hardware,Standard,Reserve"
Asset 1113,Tangible assets,LEN-MODEL-01113,SN-0000001113,TAG-001113,,3744.6,LKR,3407.13,EUR,Purchase,PO-2025-5840,Purchase details for Asset 1113,"{""name"":""Microsoft Corp"",""email"":""business@microsoft.com"",""type"":""Company""}",444.4,3 years,Combined,2028-08-27,Days,23733,INS001113,2027-09-01,15,Month,220.01,Declining Balance,2025-08-08,10.95,66,SAP,Chamod Randeni,Negombo test,6.7713,79.8985,1,Furniture,Monitors,"Hardware,Standard,Reserve"
Asset 1114,Operating assets,LEN-MODEL-01114,SN-0000001114,TAG-001114,,9782.2,USD,8814.49,GBP,Lease,PO-2025-5325,Purchase details for Asset 1114,"{""name"":""HP Enterprise"",""email"":""enterprise@hp.com"",""type"":""Company""}",1289.48,5 years,Combined,2030-05-16,Kilometers,5732,INS001114,2027-09-27,13,Hour,653.29,Sum of the Years Digits,2024-03-03,28.8,71,Microsoft,Chamod Randeni,Negombo test,7.3133,80.2408,1,Tools,Laptops,"Network,High Priority,Maintenance"
Asset 1115,Intangible assets,HP-MODEL-01115,SN-0000001115,TAG-001115,,3728.75,GBP,3352.53,EUR,Lease,PO-2025-7947,Purchase details for Asset 1115,"{""name"":""Microsoft Corp"",""email"":""business@microsoft.com"",""type"":""Company""}",441.59,5 years,Combined,2030-10-22,Kilometers,43710,INS001115,2028-12-23,8,Day,410.89,Units of Production,2025-09-28,24.28,43,Dell Inc.,ffd,Negombo test,6.7647,80.429,5,Electronics,Laptops,"Hardware,Standard,Reserve"
Asset 1116,Intangible assets,HP-MODEL-01116,SN-0000001116,TAG-001116,,7455.36,USD,6902.96,LKR,Rent,PO-2025-6059,Purchase details for Asset 1116,"{""name"":""Microsoft Corp"",""email"":""business@microsoft.com"",""type"":""Company""}",1045.99,3 years,Usage based,2027-03-29,Hours,4960,INS001116,2028-07-05,12,Month,534.11,Declining Balance,2024-11-06,23.01,26,Microsoft,ffd,Negombo test,6.835,79.5145,3,Software,Routers,"Software,Low Priority,Standby"
Asset 1117,Tangible assets,APPLE-MODEL-01117,SN-0000001117,TAG-001117,,9802.89,GBP,9251.61,USD,Purchase,PO-2025-2702,Purchase details for Asset 1117,"{""name"":""Cisco Systems"",""email"":""sales@cisco.com"",""type"":""Company""}",1128.64,3 years,Time based,2029-06-18,Cycles,23274,INS001117,2026-05-04,8,Hour,1084.28,Sum of the Years Digits,2024-09-02,35.02,45,Oracle,ffd,Negombo test,7.0417,80.2605,1,Furniture,Tablets,"Network,High Priority,Maintenance"
Asset 1118,Operating assets,APPLE-MODEL-01118,SN-0000001118,TAG-001118,,4026.12,LKR,3786.56,GBP,Hire,PO-2025-1142,Purchase details for Asset 1118,"{""name"":""Microsoft Corp"",""email"":""business@microsoft.com"",""type"":""Company""}",585.05,3 years,Usage based,2027-08-19,Cycles,6432,INS001118,2026-10-18,11,Month,312.82,Declining Balance,2024-09-03,15.61,16,IBM,ffd,Negombo test,6.9877,80.4786,4,Furniture,Tablets,"Network,High Priority,Maintenance"
Asset 1119,Intangible assets,DELL-MODEL-01119,SN-0000001119,TAG-001119,,5370.71,LKR,4959.2,GBP,Rent,PO-2025-4737,Purchase details for Asset 1119,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",593.99,1 years,Usage based,2027-05-23,Hours,4077,INS001119,2028-05-30,15,Hour,318.45,Units of Production,2025-05-10,25.73,81,Cisco Systems,Chamod Randeni,Negombo test,6.9105,80.2057,5,Tools,Servers,"Software,Low Priority,Standby"
Asset 1120,Tangible assets,DELL-MODEL-01120,SN-0000001120,TAG-001120,,2577.44,USD,2352.47,EUR,Lease,PO-2025-4890,Purchase details for Asset 1120,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",292.55,4 years,Combined,2027-03-25,Cycles,37461,INS001120,2026-08-10,6,Year,380.81,Units of Production,2024-07-03,32.41,11,Cisco Systems,Chamod Randeni,Negombo test,6.7971,79.5208,4,Tools,Laptops,"Network,High Priority,Maintenance"
Asset 1121,Operating assets,HP-MODEL-01121,SN-0000001121,TAG-001121,,5910.41,GBP,5531.03,LKR,Rent,PO-2025-6130,Purchase details for Asset 1121,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",709.04,2 years,Combined,2027-06-12,Kilometers,13233,INS001121,2026-01-01,3,Hour,1733.79,Sum of the Years Digits,2025-12-19,26.12,40,Dell Inc.,ffd,Negombo test,7.3703,79.8595,3,Electronics,Monitors,"Software,Low Priority,Standby"
Asset 1122,Tangible assets,LEN-MODEL-01122,SN-0000001122,TAG-001122,,6315.74,LKR,5556.88,LKR,Hire,PO-2025-1696,Purchase details for Asset 1122,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",807.28,1 years,Usage based,2028-10-18,Kilometers,6900,INS001122,2026-11-07,12,Day,459.04,Units of Production,2025-10-13,27.86,84,Lenovo,Chamod Randeni,Negombo test,6.8297,80.2721,1,Tools,Tablets,"Hardware,Standard,Reserve"
Asset 1123,Operating assets,LEN-MODEL-01123,SN-0000001123,TAG-001123,,7995.85,EUR,6978.92,GBP,Hire,PO-2025-4162,Purchase details for Asset 1123,"{""name"":""Microsoft Corp"",""email"":""business@microsoft.com"",""type"":""Company""}",820.7,1 years,Time based,2027-02-17,Kilometers,45570,INS001123,2026-09-22,10,Hour,717.52,Units of Production,2025-04-26,23.32,64,Samsung,ffd,Negombo test,6.5739,80.1683,4,IT Equipment,Servers,"Hardware,Standard,Reserve"
Asset 1124,Intangible assets,APPLE-MODEL-01124,SN-0000001124,TAG-001124,,7822.9,USD,7156.87,USD,Purchase,PO-2025-2166,Purchase details for Asset 1124,"{""name"":""Cisco Systems"",""email"":""sales@cisco.com"",""type"":""Company""}",971.88,5 years,Combined,2030-05-18,Kilometers,48884,INS001124,2026-02-08,3,Year,2283.67,Declining Balance,2025-07-02,14.13,61,Cisco Systems,Chamod Randeni,Negombo test,7.3977,80.4204,3,Network Equipment,Servers,"Software,Low Priority,Standby"
Asset 1125,Operating assets,DELL-MODEL-01125,SN-0000001125,TAG-001125,,4563.97,EUR,4203.73,LKR,Hire,PO-2025-9911,Purchase details for Asset 1125,"{""name"":""HP Enterprise"",""email"":""enterprise@hp.com"",""type"":""Company""}",456.57,4 years,Combined,2030-05-30,Hours,14793,INS001125,2026-06-07,5,Day,821.48,Sum of the Years Digits,2025-01-17,25.25,48,Cisco Systems,ffd,Negombo test,7.3283,79.6596,3,Machinery,Monitors,"IT,Critical,Active"
Asset 1126,Operating assets,CISCO-MODEL-01126,SN-0000001126,TAG-001126,,7450.06,EUR,6570.35,LKR,Rent,PO-2025-9725,Purchase details for Asset 1126,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",786.52,4 years,Usage based,2030-07-31,Cycles,21525,INS001126,2028-04-28,15,Month,444.24,Straightline,2025-05-15,31.2,73,Samsung,ffd,Negombo test,6.8631,80.3043,3,Furniture,Laptops,"IT,Critical,Active"
Asset 1127,Intangible assets,DELL-MODEL-01127,SN-0000001127,TAG-001127,,4250.0,EUR,3747.1,USD,Hire,PO-2025-9042,Purchase details for Asset 1127,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",615.39,2 years,Time based,2030-05-01,Days,1822,INS001127,2028-05-15,5,Year,726.92,Declining Balance,2024-10-28,29.12,30,Samsung,ffd,Negombo test,6.9035,79.788,3,IT Equipment,Monitors,"Software,Low Priority,Standby"
Asset 1128,Intangible assets,CISCO-MODEL-01128,SN-0000001128,TAG-001128,,2713.05,USD,2354.87,GBP,Purchase,PO-2025-6993,Purchase details for Asset 1128,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",334.22,1 years,Combined,2029-03-15,Days,3894,INS001128,2028-06-27,3,Year,792.94,Units of Production,2024-06-30,20.83,42,Apple Inc.,Chamod Randeni,Negombo test,7.2429,79.5744,5,Furniture,Tablets,"IT,Critical,Active"
Asset 1129,Operating assets,APPLE-MODEL-01129,SN-0000001129,TAG-001129,,5849.58,LKR,5438.64,LKR,Lease,PO-2025-8976,Purchase details for Asset 1129,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",598.53,1 years,Time based,2030-12-29,Kilometers,17735,INS001129,2028-03-31,11,Day,477.37,Declining Balance,2025-12-13,15.49,34,SAP,Chamod Randeni,Negombo test,7.2047,79.841,2,Network Equipment,Desktops,"Network,High Priority,Maintenance"
Asset 1130,Tangible assets,APPLE-MODEL-01130,SN-0000001130,TAG-001130,,5870.64,EUR,5210.03,EUR,Lease,PO-2025-2674,Purchase details for Asset 1130,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",608.73,1 years,Combined,2030-11-28,Hours,31207,INS001130,2028-03-20,13,Hour,404.76,Sum of the Years Digits,2025-06-29,33.96,86,Cisco Systems,Chamod Randeni,Negombo test,6.75,79.5739,5,Software,Laptops,"Network,High Priority,Maintenance"
Asset 1131,Intangible assets,DELL-MODEL-01131,SN-0000001131,TAG-001131,,9416.93,EUR,8078.54,USD,Rent,PO-2025-9894,Purchase details for Asset 1131,"{""name"":""Cisco Systems"",""email"":""sales@cisco.com"",""type"":""Company""}",1324.96,4 years,Usage based,2029-09-15,Days,15402,INS001131,2026-03-13,5,Hour,1618.39,Units of Production,2024-03-03,25.47,73,IBM,ffd,Negombo test,7.4063,79.5338,4,Tools,Laptops,"Hardware,Standard,Reserve"
Asset 1132,Tangible assets,DELL-MODEL-01132,SN-0000001132,TAG-001132,,4399.97,USD,4023.21,USD,Hire,PO-2025-7473,Purchase details for Asset 1132,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",548.52,1 years,Time based,2027-06-17,Kilometers,48798,INS001132,2026-10-09,11,Year,350.13,Declining Balance,2025-06-09,23.65,78,Samsung,Chamod Randeni,Negombo test,6.5759,79.8782,2,Network Equipment,Desktops,"Network,High Priority,Maintenance"
Asset 1133,Operating assets,DELL-MODEL-01133,SN-0000001133,TAG-001133,,7684.73,EUR,6638.91,LKR,Hire,PO-2025-6413,Purchase details for Asset 1133,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",854.36,4 years,Time based,2030-04-18,Cycles,33901,INS001133,2028-01-31,15,Hour,455.36,Units of Production,2025-11-15,35.42,85,Cisco Systems,Chamod Randeni,Negombo test,6.7848,80.2866,4,Machinery,Desktops,"IT,Critical,Active"
Asset 1134,Operating assets,CISCO-MODEL-01134,SN-0000001134,TAG-001134,,9901.1,LKR,8680.1,LKR,Rent,PO-2025-4806,Purchase details for Asset 1134,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",1151.74,3 years,Usage based,2028-12-17,Cycles,24644,INS001134,2026-02-15,14,Year,624.95,Units of Production,2025-01-25,19.77,84,Microsoft,ffd,Negombo test,6.6444,80.0846,5,Software,Routers,"IT,Critical,Active"
Asset 1135,Intangible assets,CISCO-MODEL-01135,SN-0000001135,TAG-001135,,5955.26,EUR,5253.36,EUR,Rent,PO-2025-6088,Purchase details for Asset 1135,"{""name"":""Microsoft Corp"",""email"":""business@microsoft.com"",""type"":""Company""}",875.41,5 years,Time based,2027-01-21,Kilometers,44253,INS001135,2026-07-13,15,Month,338.66,Units of Production,2024-10-11,23.77,1,Oracle,Chamod Randeni,Negombo test,6.863,79.7126,4,IT Equipment,Tablets,"Network,High Priority,Maintenance"
Asset 1136,Operating assets,LEN-MODEL-01136,SN-0000001136,TAG-001136,,1039.16,GBP,952.94,EUR,Purchase,PO-2025-4393,Purchase details for Asset 1136,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",150.9,4 years,Time based,2028-04-06,Hours,6746,INS001136,2028-07-01,6,Hour,148.04,Declining Balance,2024-05-12,37.43,71,Lenovo,Chamod Randeni,Negombo test,7.1996,79.5184,2,Electronics,Monitors,"IT,Critical,Active"
Asset 1137,Tangible assets,LEN-MODEL-01137,SN-0000001137,TAG-001137,,3800.98,EUR,3487.15,LKR,Lease,PO-2025-6140,Purchase details for Asset 1137,"{""name"":""Tech Solutions Inc"",""email"":""contact@techsolutions.com"",""type"":""Company""}",518.28,3 years,Usage based,2027-05-15,Cycles,5293,INS001137,2026-05-09,4,Hour,820.67,Units of Production,2025-05-08,20.71,22,HP Inc.,ffd,Negombo test,7.2496,79.8435,5,Network Equipment,Routers,"Network,High Priority,Maintenance"
Asset 1138,Tangible assets,LEN-MODEL-01138,SN-0000001138,TAG-001138,,2445.66,USD,2264.87,USD,Rent,PO-2025-8144,Purchase details for Asset 1138,"{""name"":""Cisco Systems"",""email"":""sales@cisco.com"",""type"":""Company""}",317.6,2 years,Time based,2029-05-15,Hours,13985,INS001138,2027-10-05,7,Day,304.01,Units of Production,2024-09-01,36.95,63,Oracle,ffd,Negombo test,7.3462,80.2334,3,Electronics,Servers,"Hardware,Standard,Reserve"
Asset 1139,Intangible assets,HP-MODEL-01139,SN-0000001139,TAG-001139,,9669.03,LKR,8562.94,EUR,Hire,PO-2025-1191,Purchase details for Asset 1139,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",1003.8,5 years,Usage based,2027-04-29,Cycles,48364,INS001139,2028-09-01,15,Month,577.68,Straightline,2025-12-06,12.03,76,SAP,ffd,Negombo test,7.0242,79.9303,2,IT Equipment,Routers,"Hardware,Standard,Reserve"
Asset 1140,Operating assets,DELL-MODEL-01140,SN-0000001140,TAG-001140,,3830.62,GBP,3566.18,EUR,Purchase,PO-2025-4227,Purchase details for Asset 1140,"{""name"":""Tech Solutions Inc"",""email"":""contact@techsolutions.com"",""type"":""Company""}",456.2,1 years,Combined,2028-02-01,Days,34140,INS001140,2028-08-17,13,Day,259.57,Declining Balance,2024-08-21,38.81,68,SAP,Chamod Randeni,Negombo test,7.2781,79.8214,3,Machinery,Routers,"Hardware,Standard,Reserve"
Asset 1141,Intangible assets,HP-MODEL-01141,SN-0000001141,TAG-001141,,2775.51,LKR,2387.43,USD,Rent,PO-2025-7333,Purchase details for Asset 1141,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",366.04,5 years,Time based,2029-12-01,Cycles,27679,INS001141,2027-03-27,11,Hour,219.04,Declining Balance,2025-11-25,35.59,20,SAP,ffd,Negombo test,6.8431,79.7347,3,Tools,Desktops,"Hardware,Standard,Reserve"
Asset 1142,Tangible assets,DELL-MODEL-01142,SN-0000001142,TAG-001142,,6972.16,GBP,6081.79,EUR,Purchase,PO-2025-7017,Purchase details for Asset 1142,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",819.26,3 years,Combined,2027-10-22,Days,47258,INS001142,2028-10-04,13,Year,473.3,Units of Production,2025-03-30,23.11,87,IBM,Chamod Randeni,Negombo test,7.4157,79.9293,4,Machinery,Routers,"Software,Low Priority,Standby"
Asset 1143,Tangible assets,CISCO-MODEL-01143,SN-0000001143,TAG-001143,,8098.69,GBP,7624.23,LKR,Hire,PO-2025-4668,Purchase details for Asset 1143,"{""name"":""Microsoft Corp"",""email"":""business@microsoft.com"",""type"":""Company""}",1200.45,1 years,Combined,2030-06-09,Kilometers,29189,INS001143,2026-01-02,11,Hour,627.11,Units of Production,2025-01-23,14.7,92,SAP,ffd,Negombo test,7.0995,79.6582,3,Furniture,Printers,"Hardware,Standard,Reserve"
Asset 1144,Tangible assets,CISCO-MODEL-01144,SN-0000001144,TAG-001144,,5746.53,GBP,5063.03,EUR,Purchase,PO-2025-9705,Purchase details for Asset 1144,"{""name"":""Microsoft Corp"",""email"":""business@microsoft.com"",""type"":""Company""}",656.52,2 years,Time based,2027-08-09,Kilometers,38674,INS001144,2026-03-15,14,Hour,363.57,Units of Production,2024-08-29,16.49,40,HP Inc.,ffd,Negombo test,6.6417,79.7087,2,Machinery,Tablets,"Network,High Priority,Maintenance"
Asset 1145,Operating assets,LEN-MODEL-01145,SN-0000001145,TAG-001145,,602.84,LKR,553.24,GBP,Hire,PO-2025-8937,Purchase details for Asset 1145,"{""name"":""HP Enterprise"",""email"":""enterprise@hp.com"",""type"":""Company""}",86.76,3 years,Usage based,2027-05-20,Kilometers,47400,INS001145,2026-01-24,3,Month,172.03,Sum of the Years Digits,2025-04-25,30.22,37,HP Inc.,ffd,Negombo test,6.8168,80.4434,2,Tools,Laptops,"Hardware,Standard,Reserve"
Asset 1146,Operating assets,CISCO-MODEL-01146,SN-0000001146,TAG-001146,,1464.83,USD,1336.33,USD,Rent,PO-2025-3490,Purchase details for Asset 1146,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",218.05,5 years,Combined,2027-04-16,Days,49144,INS001146,2028-09-20,4,Month,311.69,Declining Balance,2024-05-22,34.66,47,SAP,Chamod Randeni,Negombo test,6.9598,79.7874,4,Network Equipment,Tablets,"Network,High Priority,Maintenance"
Asset 1147,Tangible assets,DELL-MODEL-01147,SN-0000001147,TAG-001147,,7375.46,LKR,6641.5,USD,Rent,PO-2025-5290,Purchase details for Asset 1147,"{""name"":""Tech Solutions Inc"",""email"":""contact@techsolutions.com"",""type"":""Company""}",1051.9,4 years,Usage based,2028-07-06,Cycles,23692,INS001147,2027-09-08,7,Hour,903.37,Straightline,2024-04-23,30.87,82,Dell Inc.,Chamod Randeni,Negombo test,6.7675,80.2009,1,Furniture,Tablets,"Hardware,Standard,Reserve"
Asset 1148,Tangible assets,HP-MODEL-01148,SN-0000001148,TAG-001148,,4305.36,LKR,4077.84,LKR,Hire,PO-2025-1041,Purchase details for Asset 1148,"{""name"":""Cisco Systems"",""email"":""sales@cisco.com"",""type"":""Company""}",547.02,3 years,Combined,2030-09-21,Kilometers,48320,INS001148,2027-05-08,8,Hour,469.79,Declining Balance,2025-12-13,20.1,59,Microsoft,ffd,Negombo test,7.3293,79.5741,5,IT Equipment,Monitors,"Network,High Priority,Maintenance"
Asset 1149,Tangible assets,LEN-MODEL-01149,SN-0000001149,TAG-001149,,4263.27,GBP,3791.57,LKR,Rent,PO-2025-3500,Purchase details for Asset 1149,"{""name"":""HP Enterprise"",""email"":""enterprise@hp.com"",""type"":""Company""}",574.35,2 years,Time based,2027-02-04,Hours,16645,INS001149,2026-09-30,5,Hour,737.78,Sum of the Years Digits,2025-03-07,14.48,14,Oracle,Chamod Randeni,Negombo test,6.5229,80.0284,2,Tools,Printers,"Network,High Priority,Maintenance"
Asset 1150,Tangible assets,APPLE-MODEL-01150,SN-0000001150,TAG-001150,,9633.62,LKR,8296.13,USD,Purchase,PO-2025-3598,Purchase details for Asset 1150,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",973.73,1 years,Combined,2030-04-12,Hours,30903,INS001150,2027-06-18,8,Year,1082.49,Sum of the Years Digits,2025-11-27,19.6,24,Samsung,ffd,Negombo test,6.5419,79.6608,2,Network Equipment,Servers,"Software,Low Priority,Standby"
Asset 1151,Tangible assets,HP-MODEL-01151,SN-0000001151,TAG-001151,,6220.0,GBP,5439.45,GBP,Purchase,PO-2025-4761,Purchase details for Asset 1151,"{""name"":""Cisco Systems"",""email"":""sales@cisco.com"",""type"":""Company""}",781.5,5 years,Usage based,2028-07-30,Hours,39470,INS001151,2027-11-28,10,Year,543.85,Units of Production,2025-10-24,38.4,56,Apple Inc.,ffd,Negombo test,7.0965,80.4302,1,Tools,Routers,"Network,High Priority,Maintenance"
Asset 1152,Operating assets,CISCO-MODEL-01152,SN-0000001152,TAG-001152,,627.64,USD,545.45,EUR,Rent,PO-2025-2697,Purchase details for Asset 1152,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",87.35,1 years,Time based,2029-03-07,Kilometers,17261,INS001152,2028-03-14,11,Year,49.12,Units of Production,2024-10-01,32.19,48,Dell Inc.,ffd,Negombo test,7.3792,79.9298,3,Network Equipment,Printers,"Hardware,Standard,Reserve"
Asset 1153,Tangible assets,HP-MODEL-01153,SN-0000001153,TAG-001153,,9594.52,EUR,9024.48,EUR,Rent,PO-2025-1884,Purchase details for Asset 1153,"{""name"":""Tech Solutions Inc"",""email"":""contact@techsolutions.com"",""type"":""Company""}",1132.53,5 years,Time based,2029-07-26,Hours,10920,INS001153,2027-08-31,4,Day,2115.5,Units of Production,2025-08-30,28.27,55,Microsoft,ffd,Negombo test,6.5356,80.4855,5,IT Equipment,Desktops,"Network,High Priority,Maintenance"
Asset 1154,Operating assets,CISCO-MODEL-01154,SN-0000001154,TAG-001154,,3402.2,USD,3212.59,GBP,Purchase,PO-2025-3281,Purchase details for Asset 1154,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",403.93,5 years,Usage based,2027-10-10,Kilometers,21841,INS001154,2028-04-07,6,Hour,499.71,Units of Production,2024-12-07,21.73,85,Microsoft,Chamod Randeni,Negombo test,6.9404,79.7886,1,Software,Tablets,"Hardware,Standard,Reserve"
Asset 1155,Tangible assets,DELL-MODEL-01155,SN-0000001155,TAG-001155,,5410.27,USD,4738.3,EUR,Lease,PO-2025-2085,Purchase details for Asset 1155,"{""name"":""Cisco Systems"",""email"":""sales@cisco.com"",""type"":""Company""}",669.66,4 years,Time based,2027-05-29,Kilometers,32240,INS001155,2027-02-18,8,Month,592.58,Sum of the Years Digits,2025-04-15,13.1,64,Oracle,Chamod Randeni,Negombo test,7.1338,80.3056,1,Electronics,Printers,"IT,Critical,Active"
Asset 1156,Operating assets,LEN-MODEL-01156,SN-0000001156,TAG-001156,,6786.77,USD,6148.7,LKR,Lease,PO-2025-6134,Purchase details for Asset 1156,"{""name"":""Tech Solutions Inc"",""email"":""contact@techsolutions.com"",""type"":""Company""}",887.12,4 years,Usage based,2029-09-06,Kilometers,5338,INS001156,2028-02-18,5,Hour,1179.93,Declining Balance,2025-08-24,16.18,82,Oracle,ffd,Negombo test,6.5032,80.1574,3,Software,Laptops,"Hardware,Standard,Reserve"
Asset 1157,Operating assets,APPLE-MODEL-01157,SN-0000001157,TAG-001157,,6404.68,GBP,5638.96,USD,Hire,PO-2025-5118,Purchase details for Asset 1157,"{""name"":""HP Enterprise"",""email"":""enterprise@hp.com"",""type"":""Company""}",936.19,2 years,Time based,2027-07-31,Kilometers,17913,INS001157,2027-03-05,13,Year,420.65,Declining Balance,2024-10-12,20.0,21,HP Inc.,Chamod Randeni,Negombo test,7.3354,79.9083,5,IT Equipment,Servers,"Network,High Priority,Maintenance"
Asset 1158,Operating assets,APPLE-MODEL-01158,SN-0000001158,TAG-001158,,693.52,USD,636.13,GBP,Rent,PO-2025-1005,Purchase details for Asset 1158,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",97.8,4 years,Time based,2027-11-21,Hours,14192,INS001158,2028-12-06,13,Year,45.82,Sum of the Years Digits,2025-12-16,22.54,25,Microsoft,Chamod Randeni,Negombo test,7.1225,79.6199,3,Network Equipment,Tablets,"IT,Critical,Active"
Asset 1159,Tangible assets,HP-MODEL-01159,SN-0000001159,TAG-001159,,5015.44,EUR,4616.48,USD,Purchase,PO-2025-6892,Purchase details for Asset 1159,"{""name"":""Microsoft Corp"",""email"":""business@microsoft.com"",""type"":""Company""}",518.88,3 years,Time based,2030-01-05,Hours,17473,INS001159,2026-09-12,8,Month,562.07,Sum of the Years Digits,2024-09-02,13.53,74,Microsoft,ffd,Negombo test,7.2564,80.1946,1,Electronics,Desktops,"Software,Low Priority,Standby"
Asset 1160,Operating assets,HP-MODEL-01160,SN-0000001160,TAG-001160,,1048.1,LKR,924.86,EUR,Purchase,PO-2025-1402,Purchase details for Asset 1160,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",147.87,2 years,Combined,2029-07-02,Days,5411,INS001160,2027-03-14,15,Year,60.02,Straightline,2024-06-30,20.69,92,Dell Inc.,Chamod Randeni,Negombo test,7.3268,80.0005,5,Furniture,Routers,"Network,High Priority,Maintenance"
Asset 1161,Operating assets,CISCO-MODEL-01161,SN-0000001161,TAG-001161,,6427.1,USD,5683.58,LKR,Purchase,PO-2025-3884,Purchase details for Asset 1161,"{""name"":""HP Enterprise"",""email"":""enterprise@hp.com"",""type"":""Company""}",663.11,4 years,Time based,2029-11-13,Kilometers,45929,INS001161,2028-05-18,9,Month,640.44,Sum of the Years Digits,2025-05-08,33.83,33,SAP,ffd,Negombo test,7.1455,80.4703,3,Software,Tablets,"Hardware,Standard,Reserve"
Asset 1162,Intangible assets,HP-MODEL-01162,SN-0000001162,TAG-001162,,9450.63,USD,8968.17,EUR,Hire,PO-2025-2495,Purchase details for Asset 1162,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",1168.82,5 years,Time based,2028-06-28,Cycles,35007,INS001162,2026-11-23,4,Month,2070.45,Straightline,2024-08-03,10.07,40,SAP,ffd,Negombo test,7.1498,79.5789,4,Software,Servers,"Hardware,Standard,Reserve"
Asset 1163,Intangible assets,APPLE-MODEL-01163,SN-0000001163,TAG-001163,,5055.59,USD,4455.38,LKR,Hire,PO-2025-7426,Purchase details for Asset 1163,"{""name"":""Cisco Systems"",""email"":""sales@cisco.com"",""type"":""Company""}",669.62,3 years,Usage based,2027-12-03,Cycles,6906,INS001163,2026-02-25,5,Year,877.19,Straightline,2024-09-12,31.93,42,Samsung,ffd,Negombo test,7.3463,80.3221,1,IT Equipment,Laptops,"IT,Critical,Active"
Asset 1164,Operating assets,APPLE-MODEL-01164,SN-0000001164,TAG-001164,,1225.92,EUR,1136.59,LKR,Purchase,PO-2025-4291,Purchase details for Asset 1164,"{""name"":""Tech Solutions Inc"",""email"":""contact@techsolutions.com"",""type"":""Company""}",144.75,5 years,Usage based,2028-04-01,Cycles,7154,INS001164,2028-01-27,12,Day,90.1,Units of Production,2025-02-28,39.15,31,Apple Inc.,ffd,Negombo test,6.8558,80.3701,2,IT Equipment,Servers,"Network,High Priority,Maintenance"
Asset 1165,Tangible assets,LEN-MODEL-01165,SN-0000001165,TAG-001165,,1957.92,EUR,1690.81,GBP,Lease,PO-2025-8846,Purchase details for Asset 1165,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",256.25,2 years,Time based,2029-09-12,Kilometers,8320,INS001165,2026-09-16,15,Day,113.44,Declining Balance,2024-07-19,36.76,5,SAP,Chamod Randeni,Negombo test,7.2803,79.7192,4,Tools,Printers,"Software,Low Priority,Standby"
