name,asset_type_name,description
Category 1415,Intangible assets,Description for category 1415
Category 1416,Intangible assets,Description for category 1416
Category 1417,Operating assets,Description for category 1417
Category 1418,Intangible assets,Description for category 1418
Category 1419,Tangible assets,Description for category 1419
Category 1420,Intangible assets,Description for category 1420
Category 1421,Operating assets,Description for category 1421
Category 1422,Tangible assets,Description for category 1422
Category 1423,Operating assets,Description for category 1423
Category 1424,Intangible assets,Description for category 1424
Category 1425,Intangible assets,Description for category 1425
Category 1426,Tangible assets,Description for category 1426
Category 1427,Operating assets,Description for category 1427
Category 1428,Tangible assets,Description for category 1428
Category 1429,Intangible assets,Description for category 1429
Category 1430,Tangible assets,Description for category 1430
Category 1431,Operating assets,Description for category 1431
Category 1432,Tangible assets,Description for category 1432
Category 1433,Operating assets,Description for category 1433
Category 1434,Operating assets,Description for category 1434
Category 1435,Tangible assets,Description for category 1435
Category 1436,Intangible assets,Description for category 1436
Category 1437,Operating assets,Description for category 1437
Category 1438,Intangible assets,Description for category 1438
Category 1439,Operating assets,Description for category 1439
Category 1440,Operating assets,Description for category 1440
Category 1441,Operating assets,Description for category 1441
Category 1442,Operating assets,Description for category 1442
Category 1443,Tangible assets,Description for category 1443
Category 1444,Operating assets,Description for category 1444
Category 1445,Operating assets,Description for category 1445
Category 1446,Intangible assets,Description for category 1446
Category 1447,Tangible assets,Description for category 1447
Category 1448,Operating assets,Description for category 1448
Category 1449,Tangible assets,Description for category 1449
Category 1450,Operating assets,Description for category 1450
Category 1451,Tangible assets,Description for category 1451
Category 1452,Intangible assets,Description for category 1452
Category 1453,Intangible assets,Description for category 1453
Category 1454,Operating assets,Description for category 1454
Category 1455,Operating assets,Description for category 1455
Category 1456,Tangible assets,Description for category 1456
Category 1457,Intangible assets,Description for category 1457
Category 1458,Tangible assets,Description for category 1458
Category 1459,Intangible assets,Description for category 1459
Category 1460,Intangible assets,Description for category 1460
Category 1461,Operating assets,Description for category 1461
Category 1462,Operating assets,Description for category 1462
Category 1463,Intangible assets,Description for category 1463
Category 1464,Tangible assets,Description for category 1464
Category 1465,Tangible assets,Description for category 1465
Category 1466,Intangible assets,Description for category 1466
Category 1467,Intangible assets,Description for category 1467
Category 1468,Operating assets,Description for category 1468
Category 1469,Intangible assets,Description for category 1469
Category 1470,Intangible assets,Description for category 1470
Category 1471,Intangible assets,Description for category 1471
Category 1472,Operating assets,Description for category 1472
Category 1473,Intangible assets,Description for category 1473
Category 1474,Tangible assets,Description for category 1474
Category 1475,Operating assets,Description for category 1475
Category 1476,Operating assets,Description for category 1476
Category 1477,Intangible assets,Description for category 1477
Category 1478,Tangible assets,Description for category 1478
Category 1479,Tangible assets,Description for category 1479
Category 1480,Operating assets,Description for category 1480
Category 1481,Tangible assets,Description for category 1481
Category 1482,Intangible assets,Description for category 1482
Category 1483,Operating assets,Description for category 1483
Category 1484,Intangible assets,Description for category 1484
Category 1485,Intangible assets,Description for category 1485
Category 1486,Operating assets,Description for category 1486
Category 1487,Tangible assets,Description for category 1487
Category 1488,Operating assets,Description for category 1488
Category 1489,Intangible assets,Description for category 1489
Category 1490,Tangible assets,Description for category 1490
Category 1491,Intangible assets,Description for category 1491
Category 1492,Intangible assets,Description for category 1492
Category 1493,Operating assets,Description for category 1493
Category 1494,Tangible assets,Description for category 1494
Category 1495,Tangible assets,Description for category 1495
Category 1496,Intangible assets,Description for category 1496
Category 1497,Intangible assets,Description for category 1497
Category 1498,Tangible assets,Description for category 1498
Category 1499,Intangible assets,Description for category 1499
Category 1500,Operating assets,Description for category 1500
Category 1501,Tangible assets,Description for category 1501
Category 1502,Tangible assets,Description for category 1502
Category 1503,Intangible assets,Description for category 1503
Category 1504,Intangible assets,Description for category 1504
Category 1505,Intangible assets,Description for category 1505
Category 1506,Intangible assets,Description for category 1506
Category 1507,Tangible assets,Description for category 1507
Category 1508,Intangible assets,Description for category 1508
Category 1509,Tangible assets,Description for category 1509
Category 1510,Tangible assets,Description for category 1510
Category 1511,Intangible assets,Description for category 1511
Category 1512,Tangible assets,Description for category 1512
Category 1513,Operating assets,Description for category 1513
Category 1514,Intangible assets,Description for category 1514
Category 1515,Intangible assets,Description for category 1515
Category 1516,Operating assets,Description for category 1516
Category 1517,Operating assets,Description for category 1517
Category 1518,Operating assets,Description for category 1518
Category 1519,Intangible assets,Description for category 1519
Category 1520,Tangible assets,Description for category 1520
Category 1521,Operating assets,Description for category 1521
Category 1522,Intangible assets,Description for category 1522
Category 1523,Intangible assets,Description for category 1523
Category 1524,Operating assets,Description for category 1524
Category 1525,Intangible assets,Description for category 1525
Category 1526,Tangible assets,Description for category 1526
Category 1527,Tangible assets,Description for category 1527
Category 1528,Tangible assets,Description for category 1528
Category 1529,Operating assets,Description for category 1529
Category 1530,Tangible assets,Description for category 1530
Category 1531,Operating assets,Description for category 1531
Category 1532,Intangible assets,Description for category 1532
Category 1533,Tangible assets,Description for category 1533
Category 1534,Intangible assets,Description for category 1534
Category 1535,Operating assets,Description for category 1535
Category 1536,Intangible assets,Description for category 1536
Category 1537,Intangible assets,Description for category 1537
Category 1538,Operating assets,Description for category 1538
Category 1539,Intangible assets,Description for category 1539
Category 1540,Tangible assets,Description for category 1540
Category 1541,Intangible assets,Description for category 1541
Category 1542,Tangible assets,Description for category 1542
Category 1543,Tangible assets,Description for category 1543
Category 1544,Tangible assets,Description for category 1544
Category 1545,Operating assets,Description for category 1545
Category 1546,Intangible assets,Description for category 1546
Category 1547,Operating assets,Description for category 1547
Category 1548,Intangible assets,Description for category 1548
Category 1549,Tangible assets,Description for category 1549
Category 1550,Intangible assets,Description for category 1550
Category 1551,Operating assets,Description for category 1551
Category 1552,Operating assets,Description for category 1552
Category 1553,Tangible assets,Description for category 1553
Category 1554,Intangible assets,Description for category 1554
Category 1555,Intangible assets,Description for category 1555
Category 1556,Tangible assets,Description for category 1556
Category 1557,Operating assets,Description for category 1557
Category 1558,Tangible assets,Description for category 1558
Category 1559,Tangible assets,Description for category 1559
Category 1560,Intangible assets,Description for category 1560
Category 1561,Operating assets,Description for category 1561
Category 1562,Operating assets,Description for category 1562
Category 1563,Intangible assets,Description for category 1563
Category 1564,Tangible assets,Description for category 1564
Category 1565,Tangible assets,Description for category 1565
Category 1566,Tangible assets,Description for category 1566
Category 1567,Operating assets,Description for category 1567
Category 1568,Tangible assets,Description for category 1568
Category 1569,Tangible assets,Description for category 1569
Category 1570,Tangible assets,Description for category 1570
Category 1571,Tangible assets,Description for category 1571
Category 1572,Operating assets,Description for category 1572
Category 1573,Intangible assets,Description for category 1573
Category 1574,Tangible assets,Description for category 1574
Category 1575,Tangible assets,Description for category 1575
Category 1576,Intangible assets,Description for category 1576
Category 1577,Intangible assets,Description for category 1577
Category 1578,Operating assets,Description for category 1578
Category 1579,Tangible assets,Description for category 1579
Category 1580,Operating assets,Description for category 1580
Category 1581,Tangible assets,Description for category 1581
Category 1582,Operating assets,Description for category 1582
Category 1583,Tangible assets,Description for category 1583
Category 1584,Tangible assets,Description for category 1584
Category 1585,Intangible assets,Description for category 1585
Category 1586,Operating assets,Description for category 1586
Category 1587,Tangible assets,Description for category 1587
Category 1588,Intangible assets,Description for category 1588
Category 1589,Tangible assets,Description for category 1589
Category 1590,Tangible assets,Description for category 1590
Category 1591,Intangible assets,Description for category 1591
Category 1592,Tangible assets,Description for category 1592
Category 1593,Tangible assets,Description for category 1593
Category 1594,Tangible assets,Description for category 1594
Category 1595,Tangible assets,Description for category 1595
Category 1596,Tangible assets,Description for category 1596
Category 1597,Tangible assets,Description for category 1597
Category 1598,Operating assets,Description for category 1598
Category 1599,Tangible assets,Description for category 1599
Category 1600,Tangible assets,Description for category 1600
Category 1601,Tangible assets,Description for category 1601
Category 1602,Operating assets,Description for category 1602
Category 1603,Intangible assets,Description for category 1603
Category 1604,Tangible assets,Description for category 1604
Category 1605,Intangible assets,Description for category 1605
Category 1606,Operating assets,Description for category 1606
Category 1607,Operating assets,Description for category 1607
Category 1608,Tangible assets,Description for category 1608
Category 1609,Intangible assets,Description for category 1609
Category 1610,Tangible assets,Description for category 1610
Category 1611,Intangible assets,Description for category 1611
Category 1612,Intangible assets,Description for category 1612
Category 1613,Operating assets,Description for category 1613
Category 1614,Tangible assets,Description for category 1614
Category 1615,Intangible assets,Description for category 1615
Category 1616,Operating assets,Description for category 1616
Category 1617,Tangible assets,Description for category 1617
Category 1618,Intangible assets,Description for category 1618
Category 1619,Intangible assets,Description for category 1619
Category 1620,Intangible assets,Description for category 1620
Category 1621,Operating assets,Description for category 1621
Category 1622,Operating assets,Description for category 1622
Category 1623,Intangible assets,Description for category 1623
Category 1624,Intangible assets,Description for category 1624
Category 1625,Tangible assets,Description for category 1625
Category 1626,Tangible assets,Description for category 1626
Category 1627,Tangible assets,Description for category 1627
Category 1628,Operating assets,Description for category 1628
Category 1629,Intangible assets,Description for category 1629
Category 1630,Tangible assets,Description for category 1630
Category 1631,Operating assets,Description for category 1631
Category 1632,Tangible assets,Description for category 1632
Category 1633,Operating assets,Description for category 1633
Category 1634,Tangible assets,Description for category 1634
Category 1635,Tangible assets,Description for category 1635
Category 1636,Intangible assets,Description for category 1636
Category 1637,Intangible assets,Description for category 1637
Category 1638,Tangible assets,Description for category 1638
Category 1639,Operating assets,Description for category 1639
Category 1640,Tangible assets,Description for category 1640
Category 1641,Tangible assets,Description for category 1641
Category 1642,Intangible assets,Description for category 1642
Category 1643,Operating assets,Description for category 1643
Category 1644,Tangible assets,Description for category 1644
Category 1645,Operating assets,Description for category 1645
Category 1646,Operating assets,Description for category 1646
Category 1647,Intangible assets,Description for category 1647
Category 1648,Intangible assets,Description for category 1648
Category 1649,Tangible assets,Description for category 1649
Category 1650,Intangible assets,Description for category 1650
Category 1651,Tangible assets,Description for category 1651
Category 1652,Intangible assets,Description for category 1652
Category 1653,Intangible assets,Description for category 1653
Category 1654,Tangible assets,Description for category 1654
Category 1655,Tangible assets,Description for category 1655
Category 1656,Intangible assets,Description for category 1656
Category 1657,Intangible assets,Description for category 1657
Category 1658,Tangible assets,Description for category 1658
Category 1659,Tangible assets,Description for category 1659
Category 1660,Intangible assets,Description for category 1660
Category 1661,Tangible assets,Description for category 1661
Category 1662,Intangible assets,Description for category 1662
Category 1663,Operating assets,Description for category 1663
Category 1664,Operating assets,Description for category 1664
Category 1665,Tangible assets,Description for category 1665
Category 1666,Intangible assets,Description for category 1666
Category 1667,Operating assets,Description for category 1667
Category 1668,Tangible assets,Description for category 1668
Category 1669,Operating assets,Description for category 1669
Category 1670,Operating assets,Description for category 1670
Category 1671,Tangible assets,Description for category 1671
Category 1672,Intangible assets,Description for category 1672
Category 1673,Operating assets,Description for category 1673
Category 1674,Intangible assets,Description for category 1674
Category 1675,Intangible assets,Description for category 1675
Category 1676,Intangible assets,Description for category 1676
Category 1677,Intangible assets,Description for category 1677
Category 1678,Intangible assets,Description for category 1678
Category 1679,Intangible assets,Description for category 1679
Category 1680,Intangible assets,Description for category 1680
Category 1681,Tangible assets,Description for category 1681
Category 1682,Intangible assets,Description for category 1682
Category 1683,Intangible assets,Description for category 1683
Category 1684,Operating assets,Description for category 1684
Category 1685,Operating assets,Description for category 1685
Category 1686,Tangible assets,Description for category 1686
Category 1687,Tangible assets,Description for category 1687
Category 1688,Intangible assets,Description for category 1688
Category 1689,Tangible assets,Description for category 1689
Category 1690,Tangible assets,Description for category 1690
Category 1691,Tangible assets,Description for category 1691
Category 1692,Intangible assets,Description for category 1692
Category 1693,Intangible assets,Description for category 1693
Category 1694,Tangible assets,Description for category 1694
Category 1695,Operating assets,Description for category 1695
Category 1696,Intangible assets,Description for category 1696
Category 1697,Tangible assets,Description for category 1697
Category 1698,Operating assets,Description for category 1698
Category 1699,Intangible assets,Description for category 1699
Category 1700,Tangible assets,Description for category 1700
Category 1701,Operating assets,Description for category 1701
Category 1702,Tangible assets,Description for category 1702
Category 1703,Tangible assets,Description for category 1703
Category 1704,Tangible assets,Description for category 1704
Category 1705,Tangible assets,Description for category 1705
Category 1706,Intangible assets,Description for category 1706
Category 1707,Intangible assets,Description for category 1707
Category 1708,Operating assets,Description for category 1708
Category 1709,Intangible assets,Description for category 1709
Category 1710,Operating assets,Description for category 1710
Category 1711,Intangible assets,Description for category 1711
Category 1712,Operating assets,Description for category 1712
Category 1713,Operating assets,Description for category 1713
Category 1714,Intangible assets,Description for category 1714
Category 1715,Intangible assets,Description for category 1715
Category 1716,Intangible assets,Description for category 1716
Category 1717,Operating assets,Description for category 1717
Category 1718,Intangible assets,Description for category 1718
Category 1719,Tangible assets,Description for category 1719
Category 1720,Tangible assets,Description for category 1720
Category 1721,Operating assets,Description for category 1721
Category 1722,Operating assets,Description for category 1722
Category 1723,Tangible assets,Description for category 1723
Category 1724,Operating assets,Description for category 1724
Category 1725,Tangible assets,Description for category 1725
Category 1726,Intangible assets,Description for category 1726
Category 1727,Intangible assets,Description for category 1727
Category 1728,Operating assets,Description for category 1728
Category 1729,Operating assets,Description for category 1729
Category 1730,Operating assets,Description for category 1730
Category 1731,Tangible assets,Description for category 1731
Category 1732,Intangible assets,Description for category 1732
Category 1733,Intangible assets,Description for category 1733
Category 1734,Tangible assets,Description for category 1734
Category 1735,Tangible assets,Description for category 1735
Category 1736,Intangible assets,Description for category 1736
Category 1737,Intangible assets,Description for category 1737
Category 1738,Operating assets,Description for category 1738
Category 1739,Operating assets,Description for category 1739
Category 1740,Operating assets,Description for category 1740
Category 1741,Tangible assets,Description for category 1741
Category 1742,Intangible assets,Description for category 1742
Category 1743,Tangible assets,Description for category 1743
Category 1744,Intangible assets,Description for category 1744
Category 1745,Operating assets,Description for category 1745
Category 1746,Operating assets,Description for category 1746
Category 1747,Tangible assets,Description for category 1747
Category 1748,Operating assets,Description for category 1748
Category 1749,Operating assets,Description for category 1749
Category 1750,Intangible assets,Description for category 1750
Category 1751,Intangible assets,Description for category 1751
Category 1752,Tangible assets,Description for category 1752
Category 1753,Intangible assets,Description for category 1753
Category 1754,Tangible assets,Description for category 1754
Category 1755,Intangible assets,Description for category 1755
Category 1756,Intangible assets,Description for category 1756
Category 1757,Intangible assets,Description for category 1757
Category 1758,Tangible assets,Description for category 1758
Category 1759,Tangible assets,Description for category 1759
Category 1760,Operating assets,Description for category 1760
Category 1761,Intangible assets,Description for category 1761
Category 1762,Intangible assets,Description for category 1762
Category 1763,Operating assets,Description for category 1763
Category 1764,Operating assets,Description for category 1764
Category 1765,Tangible assets,Description for category 1765
Category 1766,Intangible assets,Description for category 1766
Category 1767,Intangible assets,Description for category 1767
Category 1768,Intangible assets,Description for category 1768
Category 1769,Operating assets,Description for category 1769
Category 1770,Tangible assets,Description for category 1770
Category 1771,Intangible assets,Description for category 1771
Category 1772,Intangible assets,Description for category 1772
Category 1773,Tangible assets,Description for category 1773
Category 1774,Tangible assets,Description for category 1774
Category 1775,Intangible assets,Description for category 1775
Category 1776,Intangible assets,Description for category 1776
Category 1777,Operating assets,Description for category 1777
Category 1778,Tangible assets,Description for category 1778
Category 1779,Intangible assets,Description for category 1779
Category 1780,Intangible assets,Description for category 1780
Category 1781,Intangible assets,Description for category 1781
Category 1782,Intangible assets,Description for category 1782
Category 1783,Operating assets,Description for category 1783
Category 1784,Intangible assets,Description for category 1784
Category 1785,Operating assets,Description for category 1785
Category 1786,Operating assets,Description for category 1786
Category 1787,Intangible assets,Description for category 1787
Category 1788,Operating assets,Description for category 1788
Category 1789,Operating assets,Description for category 1789
Category 1790,Operating assets,Description for category 1790
Category 1791,Intangible assets,Description for category 1791
Category 1792,Operating assets,Description for category 1792
Category 1793,Intangible assets,Description for category 1793
Category 1794,Intangible assets,Description for category 1794
Category 1795,Tangible assets,Description for category 1795
Category 1796,Intangible assets,Description for category 1796
Category 1797,Tangible assets,Description for category 1797
Category 1798,Operating assets,Description for category 1798
Category 1799,Operating assets,Description for category 1799
Category 1800,Operating assets,Description for category 1800
Category 1801,Operating assets,Description for category 1801
Category 1802,Tangible assets,Description for category 1802
Category 1803,Intangible assets,Description for category 1803
Category 1804,Intangible assets,Description for category 1804
Category 1805,Intangible assets,Description for category 1805
Category 1806,Intangible assets,Description for category 1806
Category 1807,Tangible assets,Description for category 1807
Category 1808,Intangible assets,Description for category 1808
Category 1809,Intangible assets,Description for category 1809
Category 1810,Intangible assets,Description for category 1810
Category 1811,Tangible assets,Description for category 1811
Category 1812,Intangible assets,Description for category 1812
Category 1813,Intangible assets,Description for category 1813
Category 1814,Operating assets,Description for category 1814
Category 1815,Tangible assets,Description for category 1815
Category 1816,Operating assets,Description for category 1816
Category 1817,Operating assets,Description for category 1817
Category 1818,Intangible assets,Description for category 1818
Category 1819,Tangible assets,Description for category 1819
Category 1820,Tangible assets,Description for category 1820
Category 1821,Intangible assets,Description for category 1821
Category 1822,Tangible assets,Description for category 1822
Category 1823,Tangible assets,Description for category 1823
Category 1824,Operating assets,Description for category 1824
Category 1825,Tangible assets,Description for category 1825
Category 1826,Intangible assets,Description for category 1826
Category 1827,Operating assets,Description for category 1827
Category 1828,Tangible assets,Description for category 1828
Category 1829,Tangible assets,Description for category 1829
Category 1830,Tangible assets,Description for category 1830
Category 1831,Operating assets,Description for category 1831
Category 1832,Intangible assets,Description for category 1832
Category 1833,Operating assets,Description for category 1833
Category 1834,Tangible assets,Description for category 1834
Category 1835,Operating assets,Description for category 1835
Category 1836,Tangible assets,Description for category 1836
Category 1837,Tangible assets,Description for category 1837
Category 1838,Tangible assets,Description for category 1838
Category 1839,Intangible assets,Description for category 1839
Category 1840,Tangible assets,Description for category 1840
Category 1841,Tangible assets,Description for category 1841
Category 1842,Intangible assets,Description for category 1842
Category 1843,Tangible assets,Description for category 1843
Category 1844,Intangible assets,Description for category 1844
Category 1845,Intangible assets,Description for category 1845
Category 1846,Tangible assets,Description for category 1846
Category 1847,Intangible assets,Description for category 1847
Category 1848,Operating assets,Description for category 1848
Category 1849,Tangible assets,Description for category 1849
Category 1850,Operating assets,Description for category 1850
Category 1851,Tangible assets,Description for category 1851
Category 1852,Tangible assets,Description for category 1852
Category 1853,Intangible assets,Description for category 1853
Category 1854,Operating assets,Description for category 1854
Category 1855,Operating assets,Description for category 1855
Category 1856,Tangible assets,Description for category 1856
Category 1857,Operating assets,Description for category 1857
Category 1858,Intangible assets,Description for category 1858
Category 1859,Intangible assets,Description for category 1859
Category 1860,Operating assets,Description for category 1860
Category 1861,Operating assets,Description for category 1861
Category 1862,Intangible assets,Description for category 1862
Category 1863,Operating assets,Description for category 1863
Category 1864,Intangible assets,Description for category 1864
Category 1865,Operating assets,Description for category 1865
Category 1866,Intangible assets,Description for category 1866
Category 1867,Operating assets,Description for category 1867
Category 1868,Intangible assets,Description for category 1868
Category 1869,Tangible assets,Description for category 1869
Category 1870,Tangible assets,Description for category 1870
Category 1871,Operating assets,Description for category 1871
Category 1872,Operating assets,Description for category 1872
Category 1873,Operating assets,Description for category 1873
Category 1874,Operating assets,Description for category 1874
Category 1875,Intangible assets,Description for category 1875
Category 1876,Operating assets,Description for category 1876
Category 1877,Tangible assets,Description for category 1877
Category 1878,Intangible assets,Description for category 1878
Category 1879,Intangible assets,Description for category 1879
Category 1880,Tangible assets,Description for category 1880
Category 1881,Intangible assets,Description for category 1881
Category 1882,Operating assets,Description for category 1882
Category 1883,Operating assets,Description for category 1883
Category 1884,Operating assets,Description for category 1884
Category 1885,Operating assets,Description for category 1885
Category 1886,Operating assets,Description for category 1886
Category 1887,Operating assets,Description for category 1887
Category 1888,Intangible assets,Description for category 1888
Category 1889,Tangible assets,Description for category 1889
Category 1890,Tangible assets,Description for category 1890
Category 1891,Tangible assets,Description for category 1891
Category 1892,Operating assets,Description for category 1892
Category 1893,Tangible assets,Description for category 1893
Category 1894,Tangible assets,Description for category 1894
Category 1895,Operating assets,Description for category 1895
Category 1896,Tangible assets,Description for category 1896
Category 1897,Tangible assets,Description for category 1897
Category 1898,Operating assets,Description for category 1898
Category 1899,Intangible assets,Description for category 1899
Category 1900,Operating assets,Description for category 1900
Category 1901,Intangible assets,Description for category 1901
Category 1902,Operating assets,Description for category 1902
Category 1903,Operating assets,Description for category 1903
Category 1904,Operating assets,Description for category 1904
Category 1905,Operating assets,Description for category 1905
Category 1906,Tangible assets,Description for category 1906
Category 1907,Operating assets,Description for category 1907
Category 1908,Tangible assets,Description for category 1908
Category 1909,Tangible assets,Description for category 1909
Category 1910,Tangible assets,Description for category 1910
Category 1911,Intangible assets,Description for category 1911
Category 1912,Operating assets,Description for category 1912
Category 1913,Operating assets,Description for category 1913
Category 1914,Tangible assets,Description for category 1914
Category 1915,Tangible assets,Description for category 1915
Category 1916,Intangible assets,Description for category 1916
Category 1917,Operating assets,Description for category 1917
Category 1918,Tangible assets,Description for category 1918
Category 1919,Operating assets,Description for category 1919
Category 1920,Tangible assets,Description for category 1920
Category 1921,Intangible assets,Description for category 1921
Category 1922,Operating assets,Description for category 1922
Category 1923,Tangible assets,Description for category 1923
Category 1924,Intangible assets,Description for category 1924
Category 1925,Operating assets,Description for category 1925
Category 1926,Tangible assets,Description for category 1926
Category 1927,Intangible assets,Description for category 1927
Category 1928,Intangible assets,Description for category 1928
Category 1929,Tangible assets,Description for category 1929
Category 1930,Tangible assets,Description for category 1930
Category 1931,Tangible assets,Description for category 1931
Category 1932,Intangible assets,Description for category 1932
Category 1933,Tangible assets,Description for category 1933
Category 1934,Tangible assets,Description for category 1934
Category 1935,Operating assets,Description for category 1935
Category 1936,Operating assets,Description for category 1936
Category 1937,Operating assets,Description for category 1937
Category 1938,Intangible assets,Description for category 1938
Category 1939,Tangible assets,Description for category 1939
Category 1940,Intangible assets,Description for category 1940
Category 1941,Intangible assets,Description for category 1941
Category 1942,Intangible assets,Description for category 1942
Category 1943,Operating assets,Description for category 1943
Category 1944,Intangible assets,Description for category 1944
Category 1945,Operating assets,Description for category 1945
Category 1946,Operating assets,Description for category 1946
Category 1947,Intangible assets,Description for category 1947
Category 1948,Operating assets,Description for category 1948
Category 1949,Tangible assets,Description for category 1949
Category 1950,Intangible assets,Description for category 1950
Category 1951,Tangible assets,Description for category 1951
Category 1952,Operating assets,Description for category 1952
Category 1953,Tangible assets,Description for category 1953
Category 1954,Tangible assets,Description for category 1954
Category 1955,Tangible assets,Description for category 1955
Category 1956,Intangible assets,Description for category 1956
Category 1957,Intangible assets,Description for category 1957
Category 1958,Intangible assets,Description for category 1958
Category 1959,Operating assets,Description for category 1959
Category 1960,Tangible assets,Description for category 1960
Category 1961,Operating assets,Description for category 1961
Category 1962,Tangible assets,Description for category 1962
Category 1963,Intangible assets,Description for category 1963
Category 1964,Tangible assets,Description for category 1964
Category 1965,Tangible assets,Description for category 1965
Category 1966,Intangible assets,Description for category 1966
Category 1967,Operating assets,Description for category 1967
Category 1968,Operating assets,Description for category 1968
Category 1969,Operating assets,Description for category 1969
Category 1970,Intangible assets,Description for category 1970
Category 1971,Tangible assets,Description for category 1971
Category 1972,Operating assets,Description for category 1972
Category 1973,Operating assets,Description for category 1973
Category 1974,Tangible assets,Description for category 1974
Category 1975,Operating assets,Description for category 1975
Category 1976,Tangible assets,Description for category 1976
Category 1977,Operating assets,Description for category 1977
Category 1978,Tangible assets,Description for category 1978
Category 1979,Intangible assets,Description for category 1979
Category 1980,Intangible assets,Description for category 1980
Category 1981,Operating assets,Description for category 1981
Category 1982,Intangible assets,Description for category 1982
Category 1983,Tangible assets,Description for category 1983
Category 1984,Intangible assets,Description for category 1984
Category 1985,Intangible assets,Description for category 1985
Category 1986,Tangible assets,Description for category 1986
Category 1987,Intangible assets,Description for category 1987
Category 1988,Operating assets,Description for category 1988
Category 1989,Intangible assets,Description for category 1989
Category 1990,Intangible assets,Description for category 1990
Category 1991,Intangible assets,Description for category 1991
Category 1992,Operating assets,Description for category 1992
Category 1993,Tangible assets,Description for category 1993
Category 1994,Intangible assets,Description for category 1994
Category 1995,Operating assets,Description for category 1995
Category 1996,Operating assets,Description for category 1996
Category 1997,Intangible assets,Description for category 1997
Category 1998,Intangible assets,Description for category 1998
Category 1999,Tangible assets,Description for category 1999
Category 2000,Tangible assets,Description for category 2000
Category 2001,Tangible assets,Description for category 2001
Category 2002,Tangible assets,Description for category 2002
Category 2003,Intangible assets,Description for category 2003
Category 2004,Operating assets,Description for category 2004
Category 2005,Tangible assets,Description for category 2005
Category 2006,Operating assets,Description for category 2006
Category 2007,Intangible assets,Description for category 2007
Category 2008,Tangible assets,Description for category 2008
Category 2009,Tangible assets,Description for category 2009
Category 2010,Intangible assets,Description for category 2010
Category 2011,Operating assets,Description for category 2011
Category 2012,Operating assets,Description for category 2012
Category 2013,Operating assets,Description for category 2013
Category 2014,Intangible assets,Description for category 2014
Category 2015,Intangible assets,Description for category 2015
Category 2016,Operating assets,Description for category 2016
Category 2017,Tangible assets,Description for category 2017
Category 2018,Intangible assets,Description for category 2018
Category 2019,Tangible assets,Description for category 2019
Category 2020,Tangible assets,Description for category 2020
Category 2021,Tangible assets,Description for category 2021
Category 2022,Tangible assets,Description for category 2022
Category 2023,Operating assets,Description for category 2023
Category 2024,Intangible assets,Description for category 2024
Category 2025,Intangible assets,Description for category 2025
Category 2026,Operating assets,Description for category 2026
Category 2027,Intangible assets,Description for category 2027
Category 2028,Operating assets,Description for category 2028
Category 2029,Tangible assets,Description for category 2029
Category 2030,Intangible assets,Description for category 2030
Category 2031,Operating assets,Description for category 2031
Category 2032,Intangible assets,Description for category 2032
Category 2033,Operating assets,Description for category 2033
Category 2034,Operating assets,Description for category 2034
Category 2035,Operating assets,Description for category 2035
Category 2036,Tangible assets,Description for category 2036
Category 2037,Intangible assets,Description for category 2037
Category 2038,Operating assets,Description for category 2038
Category 2039,Operating assets,Description for category 2039
Category 2040,Operating assets,Description for category 2040
Category 2041,Operating assets,Description for category 2041
Category 2042,Operating assets,Description for category 2042
Category 2043,Operating assets,Description for category 2043
Category 2044,Operating assets,Description for category 2044
Category 2045,Operating assets,Description for category 2045
Category 2046,Operating assets,Description for category 2046
Category 2047,Operating assets,Description for category 2047
Category 2048,Intangible assets,Description for category 2048
Category 2049,Operating assets,Description for category 2049
Category 2050,Operating assets,Description for category 2050
Category 2051,Tangible assets,Description for category 2051
Category 2052,Operating assets,Description for category 2052
Category 2053,Operating assets,Description for category 2053
Category 2054,Intangible assets,Description for category 2054
Category 2055,Intangible assets,Description for category 2055
Category 2056,Intangible assets,Description for category 2056
Category 2057,Tangible assets,Description for category 2057
Category 2058,Intangible assets,Description for category 2058
Category 2059,Tangible assets,Description for category 2059
Category 2060,Intangible assets,Description for category 2060
Category 2061,Tangible assets,Description for category 2061
Category 2062,Tangible assets,Description for category 2062
Category 2063,Operating assets,Description for category 2063
Category 2064,Tangible assets,Description for category 2064
Category 2065,Tangible assets,Description for category 2065
Category 2066,Operating assets,Description for category 2066
Category 2067,Intangible assets,Description for category 2067
Category 2068,Tangible assets,Description for category 2068
Category 2069,Intangible assets,Description for category 2069
Category 2070,Tangible assets,Description for category 2070
Category 2071,Operating assets,Description for category 2071
Category 2072,Operating assets,Description for category 2072
Category 2073,Intangible assets,Description for category 2073
Category 2074,Intangible assets,Description for category 2074
Category 2075,Tangible assets,Description for category 2075
Category 2076,Intangible assets,Description for category 2076
Category 2077,Intangible assets,Description for category 2077
Category 2078,Intangible assets,Description for category 2078
Category 2079,Operating assets,Description for category 2079
Category 2080,Intangible assets,Description for category 2080
Category 2081,Operating assets,Description for category 2081
Category 2082,Tangible assets,Description for category 2082
Category 2083,Operating assets,Description for category 2083
Category 2084,Tangible assets,Description for category 2084
Category 2085,Tangible assets,Description for category 2085
Category 2086,Operating assets,Description for category 2086
Category 2087,Tangible assets,Description for category 2087
Category 2088,Tangible assets,Description for category 2088
Category 2089,Intangible assets,Description for category 2089
Category 2090,Tangible assets,Description for category 2090
