item_name,item_description,category_name,item_category_type_name,type_name,unit_of_measure_name,purchase_price,purchase_price_currency_code,selling_price,selling_price_currency_code,max_inventory_level,min_inventory_level,re_order_level,low_stock_alert,over_stock_alert
Item 1221,Description for Item 1221,Tools,Spare Parts,Non-Perishable,Liter,379.29,GBP,570.07,USD,1430,119,881,False,False
Item 1222,Description for Item 1222,Manufacturing Parts,Spare Parts,Perishable,Liter,214.41,EUR,511.38,LKR,2000,166,1710,False,True
Item 1223,Description for Item 1223,Furniture,Spare Parts,Non-Perishable,Piece,384.07,EUR,943.86,USD,732,80,183,False,True
Item 1224,Description for Item 1224,Safety Equipment,Consumables,Perishable,Kilogram,316.65,LKR,745.78,EUR,721,183,232,False,True
Item 1225,Description for Item 1225,IT Equipment,Spare Parts,Perishable,Liter,280.14,GBP,653.88,LKR,1923,114,436,False,False
Item 1226,Description for Item 1226,IT Equipment,Consumables,Perishable,Liter,438.51,GBP,1054.92,EUR,1595,131,1341,True,False
Item 1227,Description for Item 1227,Tools,Consumables,Digital,Liter,712.44,EUR,1182.37,USD,510,64,204,True,False
Item 1228,Description for Item 1228,Office Supplies,Spare Parts,Digital,Meter,598.01,LKR,1123.01,EUR,648,191,371,True,False
Item 1229,Description for Item 1229,Safety Equipment,Consumables,Digital,Liter,512.48,USD,859.06,EUR,1185,153,749,True,False
Item 1230,Description for Item 1230,Manufacturing Parts,Spare Parts,Non-Perishable,Piece,185.39,EUR,416.54,LKR,1202,102,124,True,False
Item 1231,Description for Item 1231,Tools,Consumables,Digital,Piece,837.9,GBP,1328.14,LKR,1402,118,1284,False,True
Item 1232,Description for Item 1232,Tools,Consumables,Perishable,Meter,253.44,LKR,567.74,LKR,1144,194,388,True,False
Item 1233,Description for Item 1233,Manufacturing Parts,Consumables,Non-Perishable,Liter,101.44,USD,137.81,LKR,1657,176,963,False,False
Item 1234,Description for Item 1234,Tools,Consumables,Digital,Kilogram,904.54,GBP,1471.12,LKR,1594,106,732,False,True
Item 1235,Description for Item 1235,Consumables,Consumables,Digital,Liter,750.17,EUR,1127.93,EUR,518,197,323,False,True
Item 1236,Description for Item 1236,IT Equipment,Consumables,Non-Perishable,Liter,533.34,EUR,1018.55,EUR,904,164,791,True,False
Item 1237,Description for Item 1237,Office Supplies,Consumables,Non-Perishable,Piece,464.35,EUR,997.79,EUR,1659,68,395,False,True
Item 1238,Description for Item 1238,Tools,Spare Parts,Non-Perishable,Kilogram,652.42,GBP,1051.73,EUR,1929,52,981,True,False
Item 1239,Description for Item 1239,Tools,Spare Parts,Non-Perishable,Piece,669.47,GBP,1457.09,EUR,859,183,650,True,False
Item 1240,Description for Item 1240,Office Supplies,Spare Parts,Non-Perishable,Kilogram,839.55,LKR,1804.17,GBP,1084,183,344,True,False
Item 1241,Description for Item 1241,Electronics,Spare Parts,Digital,Kilogram,327.93,LKR,537.34,LKR,726,86,603,True,False
Item 1242,Description for Item 1242,Furniture,Spare Parts,Perishable,Meter,897.29,EUR,1608.73,USD,1568,86,553,True,False
Item 1243,Description for Item 1243,Laboratory Equipment,Spare Parts,Non-Perishable,Liter,910.67,EUR,1155.32,GBP,1443,121,178,True,False
Item 1244,Description for Item 1244,Office Supplies,Spare Parts,Non-Perishable,Piece,970.38,EUR,1190.06,USD,1473,78,1203,False,False
Item 1245,Description for Item 1245,Manufacturing Parts,Spare Parts,Non-Perishable,Meter,30.55,USD,49.15,USD,1413,107,358,True,True
Item 1246,Description for Item 1246,Furniture,Consumables,Non-Perishable,Meter,557.36,LKR,747.11,USD,1800,137,1518,True,False
Item 1247,Description for Item 1247,Consumables,Spare Parts,Perishable,Kilogram,975.84,USD,1554.11,USD,933,81,312,False,False
Item 1248,Description for Item 1248,Office Supplies,Spare Parts,Perishable,Piece,927.98,LKR,1461.91,EUR,1702,181,555,False,False
Item 1249,Description for Item 1249,Laboratory Equipment,Consumables,Digital,Piece,725.88,USD,1025.24,LKR,1194,155,1065,True,True
Item 1250,Description for Item 1250,Electronics,Consumables,Digital,Piece,219.32,GBP,522.11,USD,1483,153,221,False,True
Item 1251,Description for Item 1251,Consumables,Consumables,Perishable,Kilogram,237.64,EUR,387.16,EUR,1905,113,719,False,False
Item 1252,Description for Item 1252,Furniture,Consumables,Perishable,Piece,136.91,GBP,318.03,EUR,1748,73,739,False,True
Item 1253,Description for Item 1253,Safety Equipment,Spare Parts,Digital,Meter,587.64,LKR,1358.99,GBP,1848,156,687,True,True
Item 1254,Description for Item 1254,Manufacturing Parts,Consumables,Perishable,Piece,525.74,EUR,973.58,USD,1419,122,368,False,True
Item 1255,Description for Item 1255,Consumables,Consumables,Non-Perishable,Meter,196.67,LKR,312.65,USD,1712,62,1349,True,True
Item 1256,Description for Item 1256,Laboratory Equipment,Spare Parts,Non-Perishable,Piece,732.96,GBP,1183.29,GBP,1425,90,1157,False,False
Item 1257,Description for Item 1257,Consumables,Spare Parts,Digital,Kilogram,300.95,LKR,745.03,LKR,1619,141,1309,True,False
Item 1258,Description for Item 1258,Safety Equipment,Consumables,Digital,Kilogram,354.78,LKR,854.84,USD,877,87,473,False,True
Item 1259,Description for Item 1259,Manufacturing Parts,Consumables,Non-Perishable,Meter,391.77,EUR,647.81,LKR,1619,117,582,True,False
Item 1260,Description for Item 1260,IT Equipment,Spare Parts,Non-Perishable,Liter,722.52,LKR,1661.78,LKR,1444,174,897,True,False
Item 1261,Description for Item 1261,Office Supplies,Consumables,Digital,Liter,188.48,LKR,284.82,USD,834,158,216,False,True
Item 1262,Description for Item 1262,Consumables,Consumables,Non-Perishable,Piece,227.45,EUR,383.97,LKR,1459,176,1320,True,False
Item 1263,Description for Item 1263,Safety Equipment,Spare Parts,Digital,Meter,193.46,USD,443.17,GBP,1439,139,213,False,True
Item 1264,Description for Item 1264,Tools,Spare Parts,Digital,Liter,819.96,EUR,1456.04,USD,1141,146,852,False,False
Item 1265,Description for Item 1265,IT Equipment,Consumables,Non-Perishable,Kilogram,92.78,EUR,135.03,GBP,1081,57,722,True,False
Item 1266,Description for Item 1266,Manufacturing Parts,Consumables,Perishable,Kilogram,523.81,USD,847.51,EUR,1730,148,324,True,False
Item 1267,Description for Item 1267,IT Equipment,Spare Parts,Non-Perishable,Liter,105.22,LKR,177.63,GBP,1778,166,282,False,True
Item 1268,Description for Item 1268,Medical Supplies,Consumables,Perishable,Meter,958.06,LKR,1910.44,LKR,598,116,480,False,False
Item 1269,Description for Item 1269,Laboratory Equipment,Consumables,Perishable,Meter,622.42,GBP,933.6,USD,618,161,212,True,False
Item 1270,Description for Item 1270,Tools,Spare Parts,Non-Perishable,Kilogram,635.86,LKR,811.25,LKR,1313,182,463,True,True
Item 1271,Description for Item 1271,Consumables,Spare Parts,Non-Perishable,Kilogram,580.98,USD,905.46,GBP,1701,86,1352,False,False
Item 1272,Description for Item 1272,Manufacturing Parts,Spare Parts,Digital,Kilogram,310.59,GBP,673.12,GBP,1791,58,293,True,False
Item 1273,Description for Item 1273,Furniture,Spare Parts,Digital,Piece,628.38,EUR,1041.64,USD,1148,94,358,True,False
Item 1274,Description for Item 1274,Safety Equipment,Consumables,Digital,Liter,372.98,LKR,787.21,GBP,1372,117,811,True,True
Item 1275,Description for Item 1275,IT Equipment,Consumables,Perishable,Kilogram,808.64,GBP,1355.32,EUR,1932,164,212,True,False
Item 1276,Description for Item 1276,Office Supplies,Spare Parts,Perishable,Meter,131.37,GBP,290.5,EUR,877,65,232,False,False
Item 1277,Description for Item 1277,Electronics,Consumables,Non-Perishable,Piece,607.57,LKR,1424.42,EUR,1722,171,304,True,False
Item 1278,Description for Item 1278,Manufacturing Parts,Consumables,Non-Perishable,Kilogram,916.04,GBP,1861.3,LKR,524,187,226,True,False
Item 1279,Description for Item 1279,Safety Equipment,Consumables,Non-Perishable,Piece,868.37,EUR,1246.91,LKR,709,149,175,False,False
Item 1280,Description for Item 1280,Furniture,Spare Parts,Perishable,Meter,393.1,USD,673.18,EUR,1012,200,803,False,True
Item 1281,Description for Item 1281,Manufacturing Parts,Consumables,Non-Perishable,Piece,854.36,EUR,1447.46,EUR,637,63,507,True,True
Item 1282,Description for Item 1282,Medical Supplies,Spare Parts,Perishable,Kilogram,195.97,LKR,370.84,EUR,1758,167,251,True,True
Item 1283,Description for Item 1283,Manufacturing Parts,Consumables,Perishable,Liter,229.69,EUR,505.1,USD,1111,62,516,False,False
Item 1284,Description for Item 1284,Office Supplies,Spare Parts,Non-Perishable,Kilogram,647.12,GBP,1614.95,EUR,841,117,244,False,False
Item 1285,Description for Item 1285,Laboratory Equipment,Consumables,Non-Perishable,Liter,791.88,EUR,1288.68,GBP,1920,63,355,False,True
Item 1286,Description for Item 1286,Safety Equipment,Spare Parts,Digital,Piece,229.68,LKR,404.44,EUR,1093,123,801,True,True
Item 1287,Description for Item 1287,Tools,Spare Parts,Non-Perishable,Piece,29.02,GBP,71.11,GBP,1520,138,227,True,False
Item 1288,Description for Item 1288,IT Equipment,Consumables,Non-Perishable,Piece,927.17,GBP,1256.83,LKR,1549,149,1377,False,False
Item 1289,Description for Item 1289,Laboratory Equipment,Consumables,Digital,Liter,574.03,EUR,871.13,EUR,1753,115,1218,False,True
Item 1290,Description for Item 1290,Consumables,Spare Parts,Perishable,Piece,52.96,LKR,131.22,USD,1403,139,605,True,True
Item 1291,Description for Item 1291,Office Supplies,Spare Parts,Non-Perishable,Kilogram,247.87,GBP,446.45,EUR,828,120,320,True,True
Item 1292,Description for Item 1292,Consumables,Consumables,Digital,Meter,577.86,USD,834.24,GBP,1428,199,1209,True,True
Item 1293,Description for Item 1293,Consumables,Spare Parts,Digital,Meter,476.88,GBP,624.46,LKR,1780,182,910,True,True
Item 1294,Description for Item 1294,Tools,Consumables,Non-Perishable,Liter,848.49,USD,1844.4,GBP,812,180,190,True,True
Item 1295,Description for Item 1295,Electronics,Spare Parts,Perishable,Meter,16.28,GBP,26.22,EUR,1448,133,1099,True,True
Item 1296,Description for Item 1296,Electronics,Spare Parts,Perishable,Liter,690.03,EUR,1224.6,GBP,1569,102,749,False,True
Item 1297,Description for Item 1297,IT Equipment,Consumables,Perishable,Kilogram,741.48,USD,938.65,LKR,1339,178,904,False,False
Item 1298,Description for Item 1298,Medical Supplies,Consumables,Digital,Liter,361.31,GBP,727.72,EUR,1912,145,489,False,False
Item 1299,Description for Item 1299,Medical Supplies,Consumables,Non-Perishable,Meter,962.51,LKR,2225.56,GBP,769,107,398,False,True
Item 1300,Description for Item 1300,Consumables,Consumables,Perishable,Liter,615.91,GBP,825.05,GBP,879,116,779,False,False
Item 1301,Description for Item 1301,Office Supplies,Spare Parts,Digital,Kilogram,284.34,GBP,535.29,LKR,1222,77,809,True,True
Item 1302,Description for Item 1302,Laboratory Equipment,Spare Parts,Perishable,Liter,451.77,USD,1065.49,LKR,1254,102,780,False,False
Item 1303,Description for Item 1303,Office Supplies,Spare Parts,Non-Perishable,Meter,926.16,EUR,1375.46,EUR,682,166,168,False,False
Item 1304,Description for Item 1304,Manufacturing Parts,Consumables,Non-Perishable,Piece,79.14,GBP,151.9,EUR,1649,90,841,False,True
Item 1305,Description for Item 1305,Medical Supplies,Consumables,Digital,Piece,926.08,EUR,1874.15,LKR,1591,175,206,True,True
Item 1306,Description for Item 1306,Office Supplies,Spare Parts,Digital,Piece,412.72,GBP,531.75,LKR,529,152,331,True,True
Item 1307,Description for Item 1307,Electronics,Consumables,Digital,Liter,792.03,USD,1836.11,USD,834,110,242,False,False
Item 1308,Description for Item 1308,Manufacturing Parts,Consumables,Perishable,Meter,475.49,GBP,778.91,USD,1335,142,791,True,True
Item 1309,Description for Item 1309,Office Supplies,Consumables,Non-Perishable,Liter,900.76,EUR,1383.06,EUR,672,75,553,True,False
Item 1310,Description for Item 1310,Laboratory Equipment,Spare Parts,Perishable,Meter,852.84,EUR,1129.45,EUR,657,174,503,True,False
Item 1311,Description for Item 1311,Consumables,Spare Parts,Non-Perishable,Kilogram,851.5,LKR,1420.5,LKR,529,127,281,False,True
Item 1312,Description for Item 1312,Safety Equipment,Consumables,Non-Perishable,Meter,957.16,LKR,1892.22,LKR,1214,123,501,False,True
Item 1313,Description for Item 1313,Safety Equipment,Spare Parts,Non-Perishable,Kilogram,363.58,GBP,725.96,GBP,986,126,733,False,True
Item 1314,Description for Item 1314,Electronics,Spare Parts,Perishable,Meter,235.96,EUR,439.56,LKR,1074,155,819,False,True
Item 1315,Description for Item 1315,Safety Equipment,Consumables,Non-Perishable,Meter,248.8,USD,455.26,USD,1516,157,813,True,False
Item 1316,Description for Item 1316,Furniture,Consumables,Perishable,Liter,904.65,LKR,1582.7,USD,1860,133,1421,False,False
Item 1317,Description for Item 1317,Furniture,Spare Parts,Digital,Piece,93.6,USD,231.86,EUR,769,104,148,False,False
Item 1318,Description for Item 1318,Laboratory Equipment,Spare Parts,Perishable,Kilogram,607.54,EUR,1360.79,USD,1503,148,921,False,True
Item 1319,Description for Item 1319,Consumables,Spare Parts,Digital,Liter,809.29,EUR,1213.8,USD,953,133,241,False,False
Item 1320,Description for Item 1320,Consumables,Consumables,Perishable,Meter,28.74,LKR,69.91,LKR,656,137,188,False,True
Item 1321,Description for Item 1321,IT Equipment,Consumables,Non-Perishable,Piece,487.07,LKR,1176.06,GBP,759,62,164,True,True
Item 1322,Description for Item 1322,Safety Equipment,Consumables,Perishable,Kilogram,110.58,USD,238.93,GBP,1842,138,975,True,True
Item 1323,Description for Item 1323,IT Equipment,Consumables,Perishable,Kilogram,961.47,EUR,1542.98,USD,602,183,436,True,True
Item 1324,Description for Item 1324,Laboratory Equipment,Consumables,Non-Perishable,Liter,275.03,LKR,349.01,USD,1362,179,398,False,False
Item 1325,Description for Item 1325,Furniture,Spare Parts,Non-Perishable,Liter,111.8,LKR,270.38,LKR,869,108,172,False,True
Item 1326,Description for Item 1326,Tools,Consumables,Perishable,Kilogram,554.58,EUR,1254.45,USD,1152,86,261,False,True
Item 1327,Description for Item 1327,Laboratory Equipment,Consumables,Non-Perishable,Kilogram,349.47,USD,463.86,EUR,725,129,475,True,True
Item 1328,Description for Item 1328,Furniture,Consumables,Digital,Piece,355.38,LKR,573.28,LKR,1821,54,1424,False,True
Item 1329,Description for Item 1329,Manufacturing Parts,Spare Parts,Non-Perishable,Liter,40.32,EUR,90.67,USD,1143,76,170,True,True
Item 1330,Description for Item 1330,Medical Supplies,Consumables,Non-Perishable,Kilogram,354.53,EUR,742.08,EUR,716,116,182,True,True
Item 1331,Description for Item 1331,Laboratory Equipment,Consumables,Non-Perishable,Liter,401.59,USD,949.19,USD,1268,75,706,False,False
Item 1332,Description for Item 1332,Consumables,Consumables,Digital,Liter,759.25,EUR,1053.54,LKR,815,77,172,False,False
Item 1333,Description for Item 1333,Electronics,Consumables,Non-Perishable,Kilogram,960.38,EUR,2207.61,GBP,1541,166,608,True,False
Item 1334,Description for Item 1334,Medical Supplies,Spare Parts,Perishable,Piece,27.24,EUR,39.75,USD,1566,66,1104,False,True
Item 1335,Description for Item 1335,Medical Supplies,Consumables,Digital,Piece,790.49,GBP,1197.51,USD,974,56,156,True,True
Item 1336,Description for Item 1336,Manufacturing Parts,Consumables,Non-Perishable,Piece,584.99,USD,1378.62,LKR,1050,60,285,True,True
Item 1337,Description for Item 1337,Furniture,Spare Parts,Non-Perishable,Piece,265.28,EUR,551.29,GBP,1919,150,576,False,False
Item 1338,Description for Item 1338,Safety Equipment,Consumables,Perishable,Meter,847.23,GBP,1563.35,LKR,1574,163,959,False,False
Item 1339,Description for Item 1339,IT Equipment,Consumables,Non-Perishable,Meter,721.79,LKR,1741.89,EUR,1994,89,1706,False,True
Item 1340,Description for Item 1340,Medical Supplies,Consumables,Non-Perishable,Kilogram,733.41,LKR,1234.05,LKR,1697,156,1410,False,False
Item 1341,Description for Item 1341,Medical Supplies,Consumables,Digital,Piece,132.27,EUR,232.43,GBP,1080,197,259,False,True
Item 1342,Description for Item 1342,Medical Supplies,Consumables,Perishable,Kilogram,722.73,EUR,1432.73,LKR,1478,144,808,False,False
Item 1343,Description for Item 1343,IT Equipment,Spare Parts,Non-Perishable,Piece,941.07,GBP,1874.12,LKR,792,51,233,False,False
Item 1344,Description for Item 1344,Electronics,Consumables,Non-Perishable,Liter,990.79,GBP,1778.92,GBP,782,131,671,False,False
Item 1345,Description for Item 1345,Manufacturing Parts,Consumables,Perishable,Meter,969.39,USD,1259.17,EUR,1315,62,82,True,True
Item 1346,Description for Item 1346,Consumables,Consumables,Perishable,Liter,881.96,USD,1857.37,EUR,720,146,188,True,False
Item 1347,Description for Item 1347,Safety Equipment,Consumables,Non-Perishable,Kilogram,62.21,EUR,107.85,EUR,1920,189,275,False,False
Item 1348,Description for Item 1348,Medical Supplies,Consumables,Non-Perishable,Piece,955.84,LKR,1799.4,EUR,970,180,710,True,True
Item 1349,Description for Item 1349,Manufacturing Parts,Spare Parts,Perishable,Meter,339.18,GBP,504.91,USD,1929,166,425,True,True
Item 1350,Description for Item 1350,Manufacturing Parts,Consumables,Non-Perishable,Piece,35.79,EUR,63.68,EUR,1890,154,424,True,False
Item 1351,Description for Item 1351,Safety Equipment,Spare Parts,Perishable,Meter,518.52,USD,657.78,USD,1984,114,584,True,False
Item 1352,Description for Item 1352,Office Supplies,Spare Parts,Digital,Meter,428.05,GBP,843.64,GBP,1740,98,1176,True,True
Item 1353,Description for Item 1353,Laboratory Equipment,Spare Parts,Non-Perishable,Liter,11.87,GBP,20.66,EUR,1962,199,1717,True,False
Item 1354,Description for Item 1354,Furniture,Consumables,Perishable,Piece,96.16,EUR,153.4,EUR,1926,164,1823,False,False
Item 1355,Description for Item 1355,Manufacturing Parts,Spare Parts,Non-Perishable,Kilogram,249.83,EUR,606.62,GBP,1381,192,638,False,True
Item 1356,Description for Item 1356,Consumables,Spare Parts,Digital,Liter,664.75,USD,959.11,EUR,844,81,683,True,True
Item 1357,Description for Item 1357,Medical Supplies,Consumables,Non-Perishable,Kilogram,177.97,EUR,347.21,USD,1484,106,780,True,True
Item 1358,Description for Item 1358,Consumables,Spare Parts,Perishable,Kilogram,20.63,USD,36.6,LKR,1255,104,594,True,False
Item 1359,Description for Item 1359,Laboratory Equipment,Spare Parts,Perishable,Liter,805.31,EUR,1379.8,EUR,1475,98,473,True,False
Item 1360,Description for Item 1360,Laboratory Equipment,Spare Parts,Digital,Meter,213.36,LKR,333.54,USD,1787,123,163,False,False
Item 1361,Description for Item 1361,Furniture,Spare Parts,Perishable,Kilogram,31.44,LKR,44.57,USD,1287,109,976,True,True
Item 1362,Description for Item 1362,Tools,Consumables,Digital,Liter,119.5,USD,162.64,LKR,575,65,389,True,True
Item 1363,Description for Item 1363,Consumables,Consumables,Perishable,Piece,167.72,LKR,381.93,USD,1298,171,502,False,False
Item 1364,Description for Item 1364,Office Supplies,Spare Parts,Digital,Liter,916.61,LKR,2213.42,LKR,897,52,346,False,False
Item 1365,Description for Item 1365,IT Equipment,Consumables,Perishable,Piece,173.88,GBP,224.45,EUR,1891,193,225,True,False
Item 1366,Description for Item 1366,Office Supplies,Spare Parts,Perishable,Liter,898.68,USD,1284.23,LKR,1375,186,1124,True,True
Item 1367,Description for Item 1367,Office Supplies,Spare Parts,Perishable,Kilogram,97.29,USD,152.26,GBP,1474,75,863,False,False
Item 1368,Description for Item 1368,Furniture,Consumables,Non-Perishable,Kilogram,143.05,GBP,285.4,EUR,1144,86,906,False,True
Item 1369,Description for Item 1369,Electronics,Consumables,Perishable,Kilogram,456.92,GBP,625.55,EUR,1134,180,383,True,False
Item 1370,Description for Item 1370,Furniture,Spare Parts,Perishable,Kilogram,687.03,LKR,1510.67,GBP,1082,89,135,True,False
Item 1371,Description for Item 1371,Tools,Spare Parts,Perishable,Piece,813.19,EUR,1461.78,LKR,1517,56,336,True,True
Item 1372,Description for Item 1372,Safety Equipment,Consumables,Digital,Liter,207.58,USD,488.43,LKR,1201,88,567,True,True
Item 1373,Description for Item 1373,Laboratory Equipment,Spare Parts,Digital,Meter,321.53,EUR,602.8,GBP,831,123,227,True,True
Item 1374,Description for Item 1374,Safety Equipment,Spare Parts,Digital,Piece,234.22,LKR,308.59,USD,1569,144,1229,False,True
Item 1375,Description for Item 1375,Medical Supplies,Consumables,Non-Perishable,Liter,22.33,USD,38.85,GBP,1997,114,1664,True,True
Item 1376,Description for Item 1376,Tools,Spare Parts,Perishable,Meter,430.14,LKR,871.51,EUR,957,162,651,False,False
Item 1377,Description for Item 1377,Consumables,Spare Parts,Digital,Kilogram,663.51,EUR,1355.06,LKR,728,177,266,False,True
Item 1378,Description for Item 1378,Tools,Spare Parts,Digital,Liter,664.42,LKR,1295.3,GBP,641,56,230,False,True
Item 1379,Description for Item 1379,Medical Supplies,Consumables,Digital,Kilogram,765.87,GBP,1211.72,EUR,1571,166,629,True,True
Item 1380,Description for Item 1380,Electronics,Spare Parts,Non-Perishable,Meter,881.71,LKR,1849.16,LKR,1592,51,1384,False,True
Item 1381,Description for Item 1381,Office Supplies,Consumables,Perishable,Piece,926.76,LKR,2163.44,EUR,983,53,158,False,True
Item 1382,Description for Item 1382,Tools,Spare Parts,Digital,Kilogram,384.89,EUR,661.08,USD,1570,188,443,False,False
Item 1383,Description for Item 1383,Tools,Consumables,Non-Perishable,Liter,99.57,LKR,248.01,USD,1958,94,1242,False,False
Item 1384,Description for Item 1384,Office Supplies,Consumables,Non-Perishable,Piece,77.79,LKR,191.9,LKR,1464,171,739,False,True
Item 1385,Description for Item 1385,Electronics,Spare Parts,Non-Perishable,Liter,588.51,LKR,757.45,EUR,1647,101,1081,False,False
Item 1386,Description for Item 1386,Tools,Spare Parts,Digital,Kilogram,234.02,GBP,532.71,GBP,1791,115,740,True,False
Item 1387,Description for Item 1387,Furniture,Spare Parts,Non-Perishable,Meter,692.19,LKR,1679.71,GBP,1006,189,470,True,False
Item 1388,Description for Item 1388,IT Equipment,Consumables,Perishable,Liter,794.44,GBP,1081.13,EUR,912,82,262,True,False
Item 1389,Description for Item 1389,Manufacturing Parts,Consumables,Digital,Piece,63.06,USD,127.45,EUR,524,193,244,False,True
Item 1390,Description for Item 1390,Safety Equipment,Spare Parts,Perishable,Piece,970.49,GBP,2175.16,USD,1335,194,319,False,True
Item 1391,Description for Item 1391,Manufacturing Parts,Spare Parts,Non-Perishable,Kilogram,772.47,LKR,1060.33,LKR,1876,142,883,True,False
Item 1392,Description for Item 1392,Medical Supplies,Spare Parts,Digital,Liter,112.47,EUR,226.14,GBP,1804,123,354,True,True
Item 1393,Description for Item 1393,Electronics,Spare Parts,Perishable,Kilogram,308.38,LKR,698.8,USD,694,103,434,False,False
Item 1394,Description for Item 1394,Laboratory Equipment,Spare Parts,Non-Perishable,Piece,167.73,LKR,246.63,USD,1425,133,647,False,True
Item 1395,Description for Item 1395,Safety Equipment,Spare Parts,Digital,Kilogram,166.28,LKR,275.32,GBP,841,125,134,False,True
Item 1396,Description for Item 1396,Manufacturing Parts,Consumables,Perishable,Piece,583.96,LKR,1225.45,USD,1787,86,1541,False,True
Item 1397,Description for Item 1397,Consumables,Consumables,Non-Perishable,Piece,293.87,GBP,717.96,GBP,987,142,174,False,True
Item 1398,Description for Item 1398,Laboratory Equipment,Consumables,Perishable,Kilogram,109.9,EUR,147.26,EUR,1940,88,1431,False,False
Item 1399,Description for Item 1399,Manufacturing Parts,Spare Parts,Perishable,Liter,876.8,LKR,1978.91,EUR,1919,63,573,False,False
Item 1400,Description for Item 1400,Consumables,Consumables,Digital,Liter,261.32,LKR,626.44,LKR,1905,94,1423,False,False
Item 1401,Description for Item 1401,Safety Equipment,Consumables,Non-Perishable,Liter,794.85,LKR,1054.93,USD,1933,170,1299,False,True
Item 1402,Description for Item 1402,Consumables,Consumables,Digital,Piece,210.74,GBP,497.57,LKR,1336,160,1211,False,False
Item 1403,Description for Item 1403,Tools,Consumables,Perishable,Liter,792.76,EUR,1564.48,GBP,944,70,95,True,False
Item 1404,Description for Item 1404,Medical Supplies,Spare Parts,Digital,Piece,670.43,GBP,1536.48,USD,1088,135,315,False,True
Item 1405,Description for Item 1405,IT Equipment,Spare Parts,Non-Perishable,Piece,302.37,USD,578.18,LKR,1236,57,339,False,False
Item 1406,Description for Item 1406,Manufacturing Parts,Consumables,Non-Perishable,Kilogram,711.74,USD,1357.45,GBP,663,129,552,True,False
Item 1407,Description for Item 1407,Consumables,Consumables,Perishable,Kilogram,408.49,LKR,749.67,EUR,1767,180,1513,True,False
Item 1408,Description for Item 1408,Laboratory Equipment,Consumables,Perishable,Kilogram,416.19,LKR,884.71,GBP,1237,195,269,True,False
Item 1409,Description for Item 1409,IT Equipment,Consumables,Digital,Liter,137.14,GBP,208.34,GBP,1655,115,160,False,False
Item 1410,Description for Item 1410,Manufacturing Parts,Spare Parts,Perishable,Piece,460.06,EUR,1084.78,LKR,977,72,721,False,True
Item 1411,Description for Item 1411,IT Equipment,Spare Parts,Digital,Piece,346.98,USD,494.7,GBP,614,106,484,False,True
Item 1412,Description for Item 1412,Consumables,Spare Parts,Non-Perishable,Meter,221.76,LKR,445.36,USD,1791,110,1053,True,True
Item 1413,Description for Item 1413,Office Supplies,Spare Parts,Non-Perishable,Meter,530.62,LKR,1145.98,GBP,1830,178,661,True,False
Item 1414,Description for Item 1414,Furniture,Consumables,Non-Perishable,Piece,657.78,EUR,1579.95,GBP,1647,51,1354,True,False
Item 1415,Description for Item 1415,Safety Equipment,Consumables,Non-Perishable,Piece,236.33,USD,519.86,USD,703,76,508,True,False
Item 1416,Description for Item 1416,Laboratory Equipment,Consumables,Digital,Kilogram,542.17,LKR,682.02,LKR,894,196,586,True,True
Item 1417,Description for Item 1417,Office Supplies,Spare Parts,Non-Perishable,Kilogram,692.94,LKR,1362.99,USD,1433,191,1089,False,True
Item 1418,Description for Item 1418,Safety Equipment,Spare Parts,Perishable,Meter,957.35,EUR,1179.31,LKR,1253,110,343,True,False
Item 1419,Description for Item 1419,Tools,Spare Parts,Digital,Meter,517.26,USD,710.13,EUR,641,129,166,True,True
Item 1420,Description for Item 1420,Laboratory Equipment,Consumables,Perishable,Kilogram,234.91,LKR,545.01,GBP,751,58,78,False,True
Item 1421,Description for Item 1421,Laboratory Equipment,Consumables,Digital,Kilogram,174.68,USD,314.49,USD,691,139,366,False,False
Item 1422,Description for Item 1422,Laboratory Equipment,Consumables,Non-Perishable,Liter,98.8,GBP,200.67,EUR,1204,67,1100,True,False
Item 1423,Description for Item 1423,Office Supplies,Consumables,Perishable,Meter,821.03,USD,1730.42,EUR,607,132,322,True,False
Item 1424,Description for Item 1424,IT Equipment,Consumables,Non-Perishable,Piece,514.32,LKR,722.09,EUR,1452,78,586,False,True
Item 1425,Description for Item 1425,Medical Supplies,Consumables,Digital,Kilogram,397.16,USD,861.3,LKR,1722,193,227,True,False
Item 1426,Description for Item 1426,Laboratory Equipment,Spare Parts,Digital,Piece,829.63,LKR,1244.68,GBP,1637,100,703,True,True
Item 1427,Description for Item 1427,Manufacturing Parts,Spare Parts,Perishable,Meter,127.78,EUR,235.05,GBP,1466,66,158,True,True
Item 1428,Description for Item 1428,Medical Supplies,Consumables,Perishable,Meter,378.34,USD,592.09,USD,1571,153,508,False,False
Item 1429,Description for Item 1429,Laboratory Equipment,Spare Parts,Perishable,Liter,339.39,LKR,664.25,LKR,579,154,419,True,True
Item 1430,Description for Item 1430,Tools,Spare Parts,Non-Perishable,Liter,982.06,GBP,2322.05,USD,1356,81,405,False,True
Item 1431,Description for Item 1431,Manufacturing Parts,Consumables,Non-Perishable,Liter,711.27,LKR,1519.05,GBP,969,170,393,False,False
Item 1432,Description for Item 1432,Medical Supplies,Spare Parts,Perishable,Kilogram,216.16,USD,447.13,EUR,799,115,675,False,True
