name,asset_type_name,category_name,sub_category_name,asset_description,asset_details
Asset 01356,Current assets,Furniture,Desktops,"Description for Asset 01356, Current assets in Furniture category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Configuration""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Configuration""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""Maintenance""}]"
Asset 01357,Intangible assets,Machinery,Laptops,"Description for Asset 01357, Intangible assets in Machinery category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Installation""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Configuration""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""License""}]"
Asset 01358,Fixed assets,Network Equipment,Printers,"Description for Asset 01358, Fixed assets in Network Equipment category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Warranty Info""}]"
Asset 01359,Current assets,Network Equipment,Monitors,"Description for Asset 01359, Current assets in Network Equipment category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Installation""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Specification""}]"
Asset 01360,Operating assets,Office Equipment,Tablets,"Description for Asset 01360, Operating assets in Office Equipment category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Warranty Info""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""License""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""Installation""}]"
Asset 01361,Tangible assets,Tools,Tablets,"Description for Asset 01361, Tangible assets in Tools category","[{""details"": ""Optimized for performance"", ""detailtype"": ""License""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Specification""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Installation""}]"
Asset 01362,Current assets,Network Equipment,Servers,"Description for Asset 01362, Current assets in Network Equipment category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Installation""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Maintenance""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Configuration""}]"
Asset 01363,Fixed assets,Vehicles,Phones,"Description for Asset 01363, Fixed assets in Vehicles category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Specification""}]"
Asset 01364,Intangible assets,Electronics,Tablets,"Description for Asset 01364, Intangible assets in Electronics category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Maintenance""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""License""}]"
Asset 01365,Operating assets,Furniture,Phones,"Description for Asset 01365, Operating assets in Furniture category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Configuration""}]"
Asset 01366,Operating assets,Office Equipment,Tablets,"Description for Asset 01366, Operating assets in Office Equipment category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Maintenance""}]"
Asset 01367,Fixed assets,Electronics,Phones,"Description for Asset 01367, Fixed assets in Electronics category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""License""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Maintenance""}]"
Asset 01368,Non-operating assets,Software,Printers,"Description for Asset 01368, Non-operating assets in Software category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Configuration""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Specification""}]"
Asset 01369,Operating assets,Software,Tablets,"Description for Asset 01369, Operating assets in Software category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Warranty Info""}]"
Asset 01370,Tangible assets,Electronics,Monitors,"Description for Asset 01370, Tangible assets in Electronics category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Specification""}]"
Asset 01371,Fixed assets,Vehicles,Monitors,"Description for Asset 01371, Fixed assets in Vehicles category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Maintenance""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Specification""}]"
Asset 01372,Tangible assets,Office Equipment,Routers,"Description for Asset 01372, Tangible assets in Office Equipment category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""License""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Specification""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Installation""}]"
Asset 01373,Intangible assets,Tools,Tablets,"Description for Asset 01373, Intangible assets in Tools category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Warranty Info""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Maintenance""}]"
Asset 01374,Operating assets,Vehicles,Servers,"Description for Asset 01374, Operating assets in Vehicles category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""License""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Installation""}]"
Asset 01375,Tangible assets,Office Equipment,Servers,"Description for Asset 01375, Tangible assets in Office Equipment category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Maintenance""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Specification""}]"
Asset 01376,Intangible assets,Furniture,Desktops,"Description for Asset 01376, Intangible assets in Furniture category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Configuration""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Specification""}]"
Asset 01377,Current assets,IT Equipment,Phones,"Description for Asset 01377, Current assets in IT Equipment category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Specification""}]"
Asset 01378,Fixed assets,Software,Phones,"Description for Asset 01378, Fixed assets in Software category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Maintenance""}]"
Asset 01379,Non-operating assets,Vehicles,Servers,"Description for Asset 01379, Non-operating assets in Vehicles category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Configuration""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Specification""}]"
Asset 01380,Fixed assets,Network Equipment,Desktops,"Description for Asset 01380, Fixed assets in Network Equipment category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""License""}]"
Asset 01381,Intangible assets,Electronics,Laptops,"Description for Asset 01381, Intangible assets in Electronics category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Installation""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Specification""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Specification""}]"
Asset 01382,Intangible assets,Office Equipment,Switches,"Description for Asset 01382, Intangible assets in Office Equipment category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Warranty Info""}]"
Asset 01383,Non-operating assets,Software,Tablets,"Description for Asset 01383, Non-operating assets in Software category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Configuration""}]"
Asset 01384,Operating assets,Machinery,Printers,"Description for Asset 01384, Operating assets in Machinery category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Maintenance""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Specification""}]"
Asset 01385,Fixed assets,Software,Desktops,"Description for Asset 01385, Fixed assets in Software category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Maintenance""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Configuration""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Configuration""}]"
Asset 01386,Non-operating assets,Network Equipment,Desktops,"Description for Asset 01386, Non-operating assets in Network Equipment category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Specification""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Warranty Info""}]"
Asset 01387,Current assets,Furniture,Routers,"Description for Asset 01387, Current assets in Furniture category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Installation""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Installation""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Warranty Info""}]"
Asset 01388,Current assets,Machinery,Switches,"Description for Asset 01388, Current assets in Machinery category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""License""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""License""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""License""}]"
Asset 01389,Intangible assets,Vehicles,Desktops,"Description for Asset 01389, Intangible assets in Vehicles category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""License""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Warranty Info""}]"
Asset 01390,Tangible assets,Machinery,Servers,"Description for Asset 01390, Tangible assets in Machinery category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Configuration""}]"
Asset 01391,Intangible assets,Software,Tablets,"Description for Asset 01391, Intangible assets in Software category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Maintenance""}]"
Asset 01392,Operating assets,Software,Printers,"Description for Asset 01392, Operating assets in Software category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Specification""}]"
Asset 01393,Non-operating assets,Software,Phones,"Description for Asset 01393, Non-operating assets in Software category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Installation""}]"
Asset 01394,Non-operating assets,Software,Routers,"Description for Asset 01394, Non-operating assets in Software category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Configuration""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""Installation""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Installation""}]"
Asset 01395,Tangible assets,IT Equipment,Monitors,"Description for Asset 01395, Tangible assets in IT Equipment category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Installation""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Configuration""}]"
Asset 01396,Tangible assets,Vehicles,Tablets,"Description for Asset 01396, Tangible assets in Vehicles category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Installation""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Configuration""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Specification""}]"
Asset 01397,Current assets,Tools,Tablets,"Description for Asset 01397, Current assets in Tools category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Maintenance""}]"
Asset 01398,Non-operating assets,Network Equipment,Desktops,"Description for Asset 01398, Non-operating assets in Network Equipment category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""License""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Installation""}]"
Asset 01399,Non-operating assets,Furniture,Switches,"Description for Asset 01399, Non-operating assets in Furniture category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Warranty Info""}]"
Asset 01400,Tangible assets,Network Equipment,Desktops,"Description for Asset 01400, Tangible assets in Network Equipment category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Specification""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Specification""}]"
Asset 01401,Operating assets,Software,Desktops,"Description for Asset 01401, Operating assets in Software category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Maintenance""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Specification""}]"
Asset 01402,Current assets,Vehicles,Laptops,"Description for Asset 01402, Current assets in Vehicles category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Warranty Info""}]"
Asset 01403,Tangible assets,Software,Routers,"Description for Asset 01403, Tangible assets in Software category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Installation""}]"
Asset 01404,Non-operating assets,Machinery,Tablets,"Description for Asset 01404, Non-operating assets in Machinery category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Installation""}]"
Asset 01405,Current assets,Vehicles,Phones,"Description for Asset 01405, Current assets in Vehicles category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Warranty Info""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""License""}]"
Asset 01406,Tangible assets,Furniture,Laptops,"Description for Asset 01406, Tangible assets in Furniture category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Installation""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""Warranty Info""}]"
Asset 01407,Operating assets,IT Equipment,Laptops,"Description for Asset 01407, Operating assets in IT Equipment category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Specification""}]"
Asset 01408,Tangible assets,Tools,Printers,"Description for Asset 01408, Tangible assets in Tools category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Warranty Info""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""Installation""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Specification""}]"
Asset 01409,Fixed assets,Tools,Phones,"Description for Asset 01409, Fixed assets in Tools category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Configuration""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Specification""}]"
Asset 01410,Operating assets,IT Equipment,Laptops,"Description for Asset 01410, Operating assets in IT Equipment category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Installation""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Installation""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Specification""}]"
Asset 01411,Intangible assets,Vehicles,Servers,"Description for Asset 01411, Intangible assets in Vehicles category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Specification""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Maintenance""}]"
Asset 01412,Tangible assets,IT Equipment,Desktops,"Description for Asset 01412, Tangible assets in IT Equipment category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Installation""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""License""}]"
Asset 01413,Operating assets,Office Equipment,Servers,"Description for Asset 01413, Operating assets in Office Equipment category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Warranty Info""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Installation""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Installation""}]"
Asset 01414,Current assets,Furniture,Tablets,"Description for Asset 01414, Current assets in Furniture category","[{""details"": ""Energy efficient model"", ""detailtype"": ""License""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Installation""}]"
Asset 01415,Non-operating assets,Machinery,Phones,"Description for Asset 01415, Non-operating assets in Machinery category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Warranty Info""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Maintenance""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Warranty Info""}]"
Asset 01416,Operating assets,Tools,Switches,"Description for Asset 01416, Operating assets in Tools category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""License""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""License""}]"
Asset 01417,Tangible assets,Network Equipment,Phones,"Description for Asset 01417, Tangible assets in Network Equipment category","[{""details"": ""Optimized for performance"", ""detailtype"": ""License""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Warranty Info""}]"
Asset 01418,Fixed assets,Machinery,Servers,"Description for Asset 01418, Fixed assets in Machinery category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Configuration""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Maintenance""}]"
Asset 01419,Current assets,Machinery,Routers,"Description for Asset 01419, Current assets in Machinery category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Configuration""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""License""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Installation""}]"
Asset 01420,Tangible assets,Tools,Printers,"Description for Asset 01420, Tangible assets in Tools category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""License""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Installation""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""Configuration""}]"
Asset 01421,Fixed assets,Tools,Servers,"Description for Asset 01421, Fixed assets in Tools category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Warranty Info""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Warranty Info""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Installation""}]"
Asset 01422,Operating assets,IT Equipment,Desktops,"Description for Asset 01422, Operating assets in IT Equipment category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Specification""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Maintenance""}]"
Asset 01423,Non-operating assets,Tools,Monitors,"Description for Asset 01423, Non-operating assets in Tools category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Warranty Info""}]"
Asset 01424,Fixed assets,Electronics,Switches,"Description for Asset 01424, Fixed assets in Electronics category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""License""}]"
Asset 01425,Fixed assets,Electronics,Phones,"Description for Asset 01425, Fixed assets in Electronics category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Installation""}, {""details"": ""Optimized for performance"", ""detailtype"": ""License""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Maintenance""}]"
Asset 01426,Non-operating assets,Tools,Desktops,"Description for Asset 01426, Non-operating assets in Tools category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Installation""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Warranty Info""}]"
Asset 01427,Fixed assets,Tools,Printers,"Description for Asset 01427, Fixed assets in Tools category","[{""details"": ""Licensed for enterprise use"", ""detailtype"": ""Maintenance""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Configuration""}]"
Asset 01428,Non-operating assets,Software,Routers,"Description for Asset 01428, Non-operating assets in Software category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Warranty Info""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Maintenance""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Warranty Info""}]"
Asset 01429,Intangible assets,Electronics,Phones,"Description for Asset 01429, Intangible assets in Electronics category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Configuration""}]"
Asset 01430,Intangible assets,Tools,Laptops,"Description for Asset 01430, Intangible assets in Tools category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Installation""}]"
Asset 01431,Current assets,Machinery,Tablets,"Description for Asset 01431, Current assets in Machinery category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""License""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""Maintenance""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""License""}]"
Asset 01432,Operating assets,IT Equipment,Tablets,"Description for Asset 01432, Operating assets in IT Equipment category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Warranty Info""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""License""}, {""details"": ""Optimized for performance"", ""detailtype"": ""License""}]"
Asset 01433,Operating assets,Office Equipment,Switches,"Description for Asset 01433, Operating assets in Office Equipment category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Configuration""}]"
Asset 01434,Non-operating assets,Vehicles,Laptops,"Description for Asset 01434, Non-operating assets in Vehicles category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Configuration""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Specification""}]"
Asset 01435,Operating assets,Tools,Phones,"Description for Asset 01435, Operating assets in Tools category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Warranty Info""}]"
Asset 01436,Operating assets,Network Equipment,Tablets,"Description for Asset 01436, Operating assets in Network Equipment category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Specification""}, {""details"": ""Energy efficient model"", ""detailtype"": ""License""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""License""}]"
Asset 01437,Operating assets,Software,Switches,"Description for Asset 01437, Operating assets in Software category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Configuration""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Specification""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Configuration""}]"
Asset 01438,Fixed assets,Network Equipment,Routers,"Description for Asset 01438, Fixed assets in Network Equipment category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Maintenance""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Installation""}]"
Asset 01439,Operating assets,Office Equipment,Monitors,"Description for Asset 01439, Operating assets in Office Equipment category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Warranty Info""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""License""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Specification""}]"
Asset 01440,Non-operating assets,Office Equipment,Phones,"Description for Asset 01440, Non-operating assets in Office Equipment category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Warranty Info""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""Configuration""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Maintenance""}]"
Asset 01441,Tangible assets,Furniture,Monitors,"Description for Asset 01441, Tangible assets in Furniture category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Warranty Info""}]"
Asset 01442,Fixed assets,Network Equipment,Desktops,"Description for Asset 01442, Fixed assets in Network Equipment category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Warranty Info""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""Warranty Info""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""License""}]"
Asset 01443,Current assets,Vehicles,Printers,"Description for Asset 01443, Current assets in Vehicles category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Warranty Info""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Configuration""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Warranty Info""}]"
Asset 01444,Tangible assets,Machinery,Monitors,"Description for Asset 01444, Tangible assets in Machinery category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Configuration""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""License""}]"
Asset 01445,Fixed assets,Vehicles,Servers,"Description for Asset 01445, Fixed assets in Vehicles category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Configuration""}]"
Asset 01446,Current assets,Electronics,Tablets,"Description for Asset 01446, Current assets in Electronics category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Installation""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Installation""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Installation""}]"
Asset 01447,Operating assets,Machinery,Monitors,"Description for Asset 01447, Operating assets in Machinery category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Specification""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""License""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Maintenance""}]"
Asset 01448,Non-operating assets,Tools,Servers,"Description for Asset 01448, Non-operating assets in Tools category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Specification""}]"
Asset 01449,Operating assets,Electronics,Switches,"Description for Asset 01449, Operating assets in Electronics category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""License""}, {""details"": ""Energy efficient model"", ""detailtype"": ""License""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Warranty Info""}]"
Asset 01450,Tangible assets,IT Equipment,Routers,"Description for Asset 01450, Tangible assets in IT Equipment category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""License""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""License""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Maintenance""}]"
Asset 01451,Tangible assets,Software,Laptops,"Description for Asset 01451, Tangible assets in Software category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Installation""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""License""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Installation""}]"
Asset 01452,Tangible assets,Furniture,Printers,"Description for Asset 01452, Tangible assets in Furniture category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Installation""}]"
Asset 01453,Current assets,Tools,Laptops,"Description for Asset 01453, Current assets in Tools category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Configuration""}]"
Asset 01454,Current assets,Office Equipment,Phones,"Description for Asset 01454, Current assets in Office Equipment category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Specification""}]"
Asset 01455,Tangible assets,Software,Laptops,"Description for Asset 01455, Tangible assets in Software category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Configuration""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Configuration""}]"
Asset 01456,Non-operating assets,IT Equipment,Monitors,"Description for Asset 01456, Non-operating assets in IT Equipment category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Configuration""}]"
Asset 01457,Current assets,IT Equipment,Laptops,"Description for Asset 01457, Current assets in IT Equipment category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Specification""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Maintenance""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Specification""}]"
Asset 01458,Fixed assets,Software,Servers,"Description for Asset 01458, Fixed assets in Software category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Specification""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""License""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Maintenance""}]"
Asset 01459,Current assets,Tools,Laptops,"Description for Asset 01459, Current assets in Tools category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Installation""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Specification""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Specification""}]"
Asset 01460,Intangible assets,Electronics,Servers,"Description for Asset 01460, Intangible assets in Electronics category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Installation""}, {""details"": ""Optimized for performance"", ""detailtype"": ""Specification""}]"
Asset 01461,Operating assets,Furniture,Printers,"Description for Asset 01461, Operating assets in Furniture category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Warranty Info""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Installation""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Warranty Info""}]"
Asset 01462,Non-operating assets,Software,Phones,"Description for Asset 01462, Non-operating assets in Software category","[{""details"": ""Certified by manufacturer"", ""detailtype"": ""Configuration""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""License""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Installation""}]"
Asset 01463,Fixed assets,Furniture,Phones,"Description for Asset 01463, Fixed assets in Furniture category","[{""details"": ""Extended warranty coverage included"", ""detailtype"": ""Configuration""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Warranty Info""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Configuration""}]"
Asset 01464,Fixed assets,Electronics,Phones,"Description for Asset 01464, Fixed assets in Electronics category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Installation""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Maintenance""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""Configuration""}]"
Asset 01465,Tangible assets,Furniture,Servers,"Description for Asset 01465, Tangible assets in Furniture category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Specification""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Specification""}, {""details"": ""Standard configuration with all required components"", ""detailtype"": ""License""}]"
Asset 01466,Non-operating assets,IT Equipment,Desktops,"Description for Asset 01466, Non-operating assets in IT Equipment category","[{""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Installation""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Specification""}]"
Asset 01467,Tangible assets,Tools,Desktops,"Description for Asset 01467, Tangible assets in Tools category","[{""details"": ""Compliant with industry standards"", ""detailtype"": ""Warranty Info""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""License""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Specification""}]"
Asset 01468,Operating assets,Tools,Laptops,"Description for Asset 01468, Operating assets in Tools category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Installation""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Installation""}]"
