name,asset_type_name,category_name,sub_category_name,asset_description,thumbnail_image,asset_details,asset_classification,reading_parameters
Asset Group 044,Non-operating assets,Category_044,SubCategory_044,"Description for Asset Group 044, categorized under Category_044.","{""image_url"": ""/uploads/assets/asset_044.jpg"", ""alt_text"": ""Asset Group 044""}","{""brand"": ""Brand_44"", ""model"": ""Model_44"", ""year"": 2022, ""specifications"": {""cpu"": ""Intel i8"", ""ram"": ""8GB"", ""storage"": ""768GB SSD""}}","{""tags"": [""tag44"", ""asset"", ""group""], ""priority"": ""low"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-64""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 045,Intangible assets,Category_045,SubCategory_045,"Description for Asset Group 045, categorized under Category_045.","{""image_url"": ""/uploads/assets/asset_045.jpg"", ""alt_text"": ""Asset Group 045""}","{""brand"": ""Brand_45"", ""model"": ""Model_45"", ""year"": 2023, ""specifications"": {""cpu"": ""Intel i0"", ""ram"": ""12GB"", ""storage"": ""256GB SSD""}}","{""tags"": [""tag45"", ""asset"", ""group""], ""priority"": ""critical"", ""usage_type"": ""continuous""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-65""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 046,Tangible assets,Category_046,SubCategory_046,"Description for Asset Group 046, categorized under Category_046.","{""image_url"": ""/uploads/assets/asset_046.jpg"", ""alt_text"": ""Asset Group 046""}","{""brand"": ""Brand_46"", ""model"": ""Model_46"", ""year"": 2024, ""specifications"": {""cpu"": ""Intel i1"", ""ram"": ""16GB"", ""storage"": ""384GB SSD""}}","{""tags"": [""tag46"", ""asset"", ""group""], ""priority"": ""low"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-66""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 047,Operating assets,Category_047,SubCategory_047,"Description for Asset Group 047, categorized under Category_047.","{""image_url"": ""/uploads/assets/asset_047.jpg"", ""alt_text"": ""Asset Group 047""}","{""brand"": ""Brand_47"", ""model"": ""Model_47"", ""year"": 2025, ""specifications"": {""cpu"": ""Intel i2"", ""ram"": ""20GB"", ""storage"": ""512GB SSD""}}","{""tags"": [""tag47"", ""asset"", ""group""], ""priority"": ""medium"", ""usage_type"": ""business""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-67""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 048,Intangible assets,Category_048,SubCategory_048,"Description for Asset Group 048, categorized under Category_048.","{""image_url"": ""/uploads/assets/asset_048.jpg"", ""alt_text"": ""Asset Group 048""}","{""brand"": ""Brand_48"", ""model"": ""Model_48"", ""year"": 2020, ""specifications"": {""cpu"": ""Intel i3"", ""ram"": ""8GB"", ""storage"": ""640GB SSD""}}","{""tags"": [""tag48"", ""asset"", ""group""], ""priority"": ""medium"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-68""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 049,Non-operating assets,Category_049,SubCategory_049,"Description for Asset Group 049, categorized under Category_049.","{""image_url"": ""/uploads/assets/asset_049.jpg"", ""alt_text"": ""Asset Group 049""}","{""brand"": ""Brand_49"", ""model"": ""Model_49"", ""year"": 2021, ""specifications"": {""cpu"": ""Intel i4"", ""ram"": ""12GB"", ""storage"": ""768GB SSD""}}","{""tags"": [""tag49"", ""asset"", ""group""], ""priority"": ""low"", ""usage_type"": ""business""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-69""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 050,Fixed assets,Category_050,SubCategory_050,"Description for Asset Group 050, categorized under Category_050.","{""image_url"": ""/uploads/assets/asset_050.jpg"", ""alt_text"": ""Asset Group 050""}","{""brand"": ""Brand_50"", ""model"": ""Model_50"", ""year"": 2022, ""specifications"": {""cpu"": ""Intel i5"", ""ram"": ""16GB"", ""storage"": ""256GB SSD""}}","{""tags"": [""tag50"", ""asset"", ""group""], ""priority"": ""low"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-70""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 051,Operating assets,Category_051,SubCategory_051,"Description for Asset Group 051, categorized under Category_051.","{""image_url"": ""/uploads/assets/asset_051.jpg"", ""alt_text"": ""Asset Group 051""}","{""brand"": ""Brand_51"", ""model"": ""Model_51"", ""year"": 2023, ""specifications"": {""cpu"": ""Intel i6"", ""ram"": ""20GB"", ""storage"": ""384GB SSD""}}","{""tags"": [""tag51"", ""asset"", ""group""], ""priority"": ""critical"", ""usage_type"": ""daily""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-71""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 052,Operating assets,Category_052,SubCategory_052,"Description for Asset Group 052, categorized under Category_052.","{""image_url"": ""/uploads/assets/asset_052.jpg"", ""alt_text"": ""Asset Group 052""}","{""brand"": ""Brand_52"", ""model"": ""Model_52"", ""year"": 2024, ""specifications"": {""cpu"": ""Intel i7"", ""ram"": ""8GB"", ""storage"": ""512GB SSD""}}","{""tags"": [""tag52"", ""asset"", ""group""], ""priority"": ""medium"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-72""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 053,Non-operating assets,Category_053,SubCategory_053,"Description for Asset Group 053, categorized under Category_053.","{""image_url"": ""/uploads/assets/asset_053.jpg"", ""alt_text"": ""Asset Group 053""}","{""brand"": ""Brand_53"", ""model"": ""Model_53"", ""year"": 2025, ""specifications"": {""cpu"": ""Intel i8"", ""ram"": ""12GB"", ""storage"": ""640GB SSD""}}","{""tags"": [""tag53"", ""asset"", ""group""], ""priority"": ""high"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-73""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 054,Intangible assets,Category_054,SubCategory_054,"Description for Asset Group 054, categorized under Category_054.","{""image_url"": ""/uploads/assets/asset_054.jpg"", ""alt_text"": ""Asset Group 054""}","{""brand"": ""Brand_54"", ""model"": ""Model_54"", ""year"": 2020, ""specifications"": {""cpu"": ""Intel i0"", ""ram"": ""16GB"", ""storage"": ""768GB SSD""}}","{""tags"": [""tag54"", ""asset"", ""group""], ""priority"": ""low"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-74""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 055,Fixed assets,Category_055,SubCategory_055,"Description for Asset Group 055, categorized under Category_055.","{""image_url"": ""/uploads/assets/asset_055.jpg"", ""alt_text"": ""Asset Group 055""}","{""brand"": ""Brand_55"", ""model"": ""Model_55"", ""year"": 2021, ""specifications"": {""cpu"": ""Intel i1"", ""ram"": ""20GB"", ""storage"": ""256GB SSD""}}","{""tags"": [""tag55"", ""asset"", ""group""], ""priority"": ""high"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-75""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 056,Fixed assets,Category_056,SubCategory_056,"Description for Asset Group 056, categorized under Category_056.","{""image_url"": ""/uploads/assets/asset_056.jpg"", ""alt_text"": ""Asset Group 056""}","{""brand"": ""Brand_56"", ""model"": ""Model_56"", ""year"": 2022, ""specifications"": {""cpu"": ""Intel i2"", ""ram"": ""8GB"", ""storage"": ""384GB SSD""}}","{""tags"": [""tag56"", ""asset"", ""group""], ""priority"": ""high"", ""usage_type"": ""business""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-76""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 057,Tangible assets,Category_057,SubCategory_057,"Description for Asset Group 057, categorized under Category_057.","{""image_url"": ""/uploads/assets/asset_057.jpg"", ""alt_text"": ""Asset Group 057""}","{""brand"": ""Brand_57"", ""model"": ""Model_57"", ""year"": 2023, ""specifications"": {""cpu"": ""Intel i3"", ""ram"": ""12GB"", ""storage"": ""512GB SSD""}}","{""tags"": [""tag57"", ""asset"", ""group""], ""priority"": ""critical"", ""usage_type"": ""daily""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-77""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 058,Intangible assets,Category_058,SubCategory_058,"Description for Asset Group 058, categorized under Category_058.","{""image_url"": ""/uploads/assets/asset_058.jpg"", ""alt_text"": ""Asset Group 058""}","{""brand"": ""Brand_58"", ""model"": ""Model_58"", ""year"": 2024, ""specifications"": {""cpu"": ""Intel i4"", ""ram"": ""16GB"", ""storage"": ""640GB SSD""}}","{""tags"": [""tag58"", ""asset"", ""group""], ""priority"": ""medium"", ""usage_type"": ""business""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-78""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 059,Non-operating assets,Category_059,SubCategory_059,"Description for Asset Group 059, categorized under Category_059.","{""image_url"": ""/uploads/assets/asset_059.jpg"", ""alt_text"": ""Asset Group 059""}","{""brand"": ""Brand_59"", ""model"": ""Model_59"", ""year"": 2025, ""specifications"": {""cpu"": ""Intel i5"", ""ram"": ""20GB"", ""storage"": ""768GB SSD""}}","{""tags"": [""tag59"", ""asset"", ""group""], ""priority"": ""critical"", ""usage_type"": ""continuous""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-79""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 060,Tangible assets,Category_060,SubCategory_060,"Description for Asset Group 060, categorized under Category_060.","{""image_url"": ""/uploads/assets/asset_060.jpg"", ""alt_text"": ""Asset Group 060""}","{""brand"": ""Brand_60"", ""model"": ""Model_60"", ""year"": 2020, ""specifications"": {""cpu"": ""Intel i6"", ""ram"": ""8GB"", ""storage"": ""256GB SSD""}}","{""tags"": [""tag60"", ""asset"", ""group""], ""priority"": ""medium"", ""usage_type"": ""continuous""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-80""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 061,Fixed assets,Category_061,SubCategory_061,"Description for Asset Group 061, categorized under Category_061.","{""image_url"": ""/uploads/assets/asset_061.jpg"", ""alt_text"": ""Asset Group 061""}","{""brand"": ""Brand_61"", ""model"": ""Model_61"", ""year"": 2021, ""specifications"": {""cpu"": ""Intel i7"", ""ram"": ""12GB"", ""storage"": ""384GB SSD""}}","{""tags"": [""tag61"", ""asset"", ""group""], ""priority"": ""critical"", ""usage_type"": ""continuous""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-81""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 062,Intangible assets,Category_062,SubCategory_062,"Description for Asset Group 062, categorized under Category_062.","{""image_url"": ""/uploads/assets/asset_062.jpg"", ""alt_text"": ""Asset Group 062""}","{""brand"": ""Brand_62"", ""model"": ""Model_62"", ""year"": 2022, ""specifications"": {""cpu"": ""Intel i8"", ""ram"": ""16GB"", ""storage"": ""512GB SSD""}}","{""tags"": [""tag62"", ""asset"", ""group""], ""priority"": ""low"", ""usage_type"": ""business""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-82""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 063,Tangible assets,Category_063,SubCategory_063,"Description for Asset Group 063, categorized under Category_063.","{""image_url"": ""/uploads/assets/asset_063.jpg"", ""alt_text"": ""Asset Group 063""}","{""brand"": ""Brand_63"", ""model"": ""Model_63"", ""year"": 2023, ""specifications"": {""cpu"": ""Intel i0"", ""ram"": ""20GB"", ""storage"": ""640GB SSD""}}","{""tags"": [""tag63"", ""asset"", ""group""], ""priority"": ""high"", ""usage_type"": ""business""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-83""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 064,Fixed assets,Category_064,SubCategory_064,"Description for Asset Group 064, categorized under Category_064.","{""image_url"": ""/uploads/assets/asset_064.jpg"", ""alt_text"": ""Asset Group 064""}","{""brand"": ""Brand_64"", ""model"": ""Model_64"", ""year"": 2024, ""specifications"": {""cpu"": ""Intel i1"", ""ram"": ""8GB"", ""storage"": ""768GB SSD""}}","{""tags"": [""tag64"", ""asset"", ""group""], ""priority"": ""medium"", ""usage_type"": ""daily""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-84""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 065,Fixed assets,Category_065,SubCategory_065,"Description for Asset Group 065, categorized under Category_065.","{""image_url"": ""/uploads/assets/asset_065.jpg"", ""alt_text"": ""Asset Group 065""}","{""brand"": ""Brand_65"", ""model"": ""Model_65"", ""year"": 2025, ""specifications"": {""cpu"": ""Intel i2"", ""ram"": ""12GB"", ""storage"": ""256GB SSD""}}","{""tags"": [""tag65"", ""asset"", ""group""], ""priority"": ""high"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-85""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 066,Tangible assets,Category_066,SubCategory_066,"Description for Asset Group 066, categorized under Category_066.","{""image_url"": ""/uploads/assets/asset_066.jpg"", ""alt_text"": ""Asset Group 066""}","{""brand"": ""Brand_66"", ""model"": ""Model_66"", ""year"": 2020, ""specifications"": {""cpu"": ""Intel i3"", ""ram"": ""16GB"", ""storage"": ""384GB SSD""}}","{""tags"": [""tag66"", ""asset"", ""group""], ""priority"": ""high"", ""usage_type"": ""continuous""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-86""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 067,Tangible assets,Category_067,SubCategory_067,"Description for Asset Group 067, categorized under Category_067.","{""image_url"": ""/uploads/assets/asset_067.jpg"", ""alt_text"": ""Asset Group 067""}","{""brand"": ""Brand_67"", ""model"": ""Model_67"", ""year"": 2021, ""specifications"": {""cpu"": ""Intel i4"", ""ram"": ""20GB"", ""storage"": ""512GB SSD""}}","{""tags"": [""tag67"", ""asset"", ""group""], ""priority"": ""critical"", ""usage_type"": ""business""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-87""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 068,Tangible assets,Category_068,SubCategory_068,"Description for Asset Group 068, categorized under Category_068.","{""image_url"": ""/uploads/assets/asset_068.jpg"", ""alt_text"": ""Asset Group 068""}","{""brand"": ""Brand_68"", ""model"": ""Model_68"", ""year"": 2022, ""specifications"": {""cpu"": ""Intel i5"", ""ram"": ""8GB"", ""storage"": ""640GB SSD""}}","{""tags"": [""tag68"", ""asset"", ""group""], ""priority"": ""low"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-88""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 069,Fixed assets,Category_069,SubCategory_069,"Description for Asset Group 069, categorized under Category_069.","{""image_url"": ""/uploads/assets/asset_069.jpg"", ""alt_text"": ""Asset Group 069""}","{""brand"": ""Brand_69"", ""model"": ""Model_69"", ""year"": 2023, ""specifications"": {""cpu"": ""Intel i6"", ""ram"": ""12GB"", ""storage"": ""768GB SSD""}}","{""tags"": [""tag69"", ""asset"", ""group""], ""priority"": ""medium"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-89""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 070,Intangible assets,Category_070,SubCategory_070,"Description for Asset Group 070, categorized under Category_070.","{""image_url"": ""/uploads/assets/asset_070.jpg"", ""alt_text"": ""Asset Group 070""}","{""brand"": ""Brand_70"", ""model"": ""Model_70"", ""year"": 2024, ""specifications"": {""cpu"": ""Intel i7"", ""ram"": ""16GB"", ""storage"": ""256GB SSD""}}","{""tags"": [""tag70"", ""asset"", ""group""], ""priority"": ""critical"", ""usage_type"": ""business""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-90""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 071,Operating assets,Category_071,SubCategory_071,"Description for Asset Group 071, categorized under Category_071.","{""image_url"": ""/uploads/assets/asset_071.jpg"", ""alt_text"": ""Asset Group 071""}","{""brand"": ""Brand_71"", ""model"": ""Model_71"", ""year"": 2025, ""specifications"": {""cpu"": ""Intel i8"", ""ram"": ""20GB"", ""storage"": ""384GB SSD""}}","{""tags"": [""tag71"", ""asset"", ""group""], ""priority"": ""critical"", ""usage_type"": ""daily""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-91""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 072,Operating assets,Category_072,SubCategory_072,"Description for Asset Group 072, categorized under Category_072.","{""image_url"": ""/uploads/assets/asset_072.jpg"", ""alt_text"": ""Asset Group 072""}","{""brand"": ""Brand_72"", ""model"": ""Model_72"", ""year"": 2020, ""specifications"": {""cpu"": ""Intel i0"", ""ram"": ""8GB"", ""storage"": ""512GB SSD""}}","{""tags"": [""tag72"", ""asset"", ""group""], ""priority"": ""low"", ""usage_type"": ""continuous""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-92""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 073,Intangible assets,Category_073,SubCategory_073,"Description for Asset Group 073, categorized under Category_073.","{""image_url"": ""/uploads/assets/asset_073.jpg"", ""alt_text"": ""Asset Group 073""}","{""brand"": ""Brand_73"", ""model"": ""Model_73"", ""year"": 2021, ""specifications"": {""cpu"": ""Intel i1"", ""ram"": ""12GB"", ""storage"": ""640GB SSD""}}","{""tags"": [""tag73"", ""asset"", ""group""], ""priority"": ""critical"", ""usage_type"": ""business""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-93""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 074,Non-operating assets,Category_074,SubCategory_074,"Description for Asset Group 074, categorized under Category_074.","{""image_url"": ""/uploads/assets/asset_074.jpg"", ""alt_text"": ""Asset Group 074""}","{""brand"": ""Brand_74"", ""model"": ""Model_74"", ""year"": 2022, ""specifications"": {""cpu"": ""Intel i2"", ""ram"": ""16GB"", ""storage"": ""768GB SSD""}}","{""tags"": [""tag74"", ""asset"", ""group""], ""priority"": ""high"", ""usage_type"": ""continuous""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-94""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 075,Fixed assets,Category_075,SubCategory_075,"Description for Asset Group 075, categorized under Category_075.","{""image_url"": ""/uploads/assets/asset_075.jpg"", ""alt_text"": ""Asset Group 075""}","{""brand"": ""Brand_75"", ""model"": ""Model_75"", ""year"": 2023, ""specifications"": {""cpu"": ""Intel i3"", ""ram"": ""20GB"", ""storage"": ""256GB SSD""}}","{""tags"": [""tag75"", ""asset"", ""group""], ""priority"": ""critical"", ""usage_type"": ""daily""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-95""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 076,Operating assets,Category_076,SubCategory_076,"Description for Asset Group 076, categorized under Category_076.","{""image_url"": ""/uploads/assets/asset_076.jpg"", ""alt_text"": ""Asset Group 076""}","{""brand"": ""Brand_76"", ""model"": ""Model_76"", ""year"": 2024, ""specifications"": {""cpu"": ""Intel i4"", ""ram"": ""8GB"", ""storage"": ""384GB SSD""}}","{""tags"": [""tag76"", ""asset"", ""group""], ""priority"": ""critical"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-96""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 077,Fixed assets,Category_077,SubCategory_077,"Description for Asset Group 077, categorized under Category_077.","{""image_url"": ""/uploads/assets/asset_077.jpg"", ""alt_text"": ""Asset Group 077""}","{""brand"": ""Brand_77"", ""model"": ""Model_77"", ""year"": 2025, ""specifications"": {""cpu"": ""Intel i5"", ""ram"": ""12GB"", ""storage"": ""512GB SSD""}}","{""tags"": [""tag77"", ""asset"", ""group""], ""priority"": ""critical"", ""usage_type"": ""business""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-97""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 078,Tangible assets,Category_078,SubCategory_078,"Description for Asset Group 078, categorized under Category_078.","{""image_url"": ""/uploads/assets/asset_078.jpg"", ""alt_text"": ""Asset Group 078""}","{""brand"": ""Brand_78"", ""model"": ""Model_78"", ""year"": 2020, ""specifications"": {""cpu"": ""Intel i6"", ""ram"": ""16GB"", ""storage"": ""640GB SSD""}}","{""tags"": [""tag78"", ""asset"", ""group""], ""priority"": ""low"", ""usage_type"": ""continuous""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-98""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 079,Non-operating assets,Category_079,SubCategory_079,"Description for Asset Group 079, categorized under Category_079.","{""image_url"": ""/uploads/assets/asset_079.jpg"", ""alt_text"": ""Asset Group 079""}","{""brand"": ""Brand_79"", ""model"": ""Model_79"", ""year"": 2021, ""specifications"": {""cpu"": ""Intel i7"", ""ram"": ""20GB"", ""storage"": ""768GB SSD""}}","{""tags"": [""tag79"", ""asset"", ""group""], ""priority"": ""high"", ""usage_type"": ""continuous""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-99""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 080,Intangible assets,Category_080,SubCategory_080,"Description for Asset Group 080, categorized under Category_080.","{""image_url"": ""/uploads/assets/asset_080.jpg"", ""alt_text"": ""Asset Group 080""}","{""brand"": ""Brand_80"", ""model"": ""Model_80"", ""year"": 2022, ""specifications"": {""cpu"": ""Intel i8"", ""ram"": ""8GB"", ""storage"": ""256GB SSD""}}","{""tags"": [""tag80"", ""asset"", ""group""], ""priority"": ""high"", ""usage_type"": ""business""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-60""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 081,Tangible assets,Category_081,SubCategory_081,"Description for Asset Group 081, categorized under Category_081.","{""image_url"": ""/uploads/assets/asset_081.jpg"", ""alt_text"": ""Asset Group 081""}","{""brand"": ""Brand_81"", ""model"": ""Model_81"", ""year"": 2023, ""specifications"": {""cpu"": ""Intel i0"", ""ram"": ""12GB"", ""storage"": ""384GB SSD""}}","{""tags"": [""tag81"", ""asset"", ""group""], ""priority"": ""medium"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-61""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 082,Intangible assets,Category_082,SubCategory_082,"Description for Asset Group 082, categorized under Category_082.","{""image_url"": ""/uploads/assets/asset_082.jpg"", ""alt_text"": ""Asset Group 082""}","{""brand"": ""Brand_82"", ""model"": ""Model_82"", ""year"": 2024, ""specifications"": {""cpu"": ""Intel i1"", ""ram"": ""16GB"", ""storage"": ""512GB SSD""}}","{""tags"": [""tag82"", ""asset"", ""group""], ""priority"": ""critical"", ""usage_type"": ""continuous""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-62""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 083,Tangible assets,Category_083,SubCategory_083,"Description for Asset Group 083, categorized under Category_083.","{""image_url"": ""/uploads/assets/asset_083.jpg"", ""alt_text"": ""Asset Group 083""}","{""brand"": ""Brand_83"", ""model"": ""Model_83"", ""year"": 2025, ""specifications"": {""cpu"": ""Intel i2"", ""ram"": ""20GB"", ""storage"": ""640GB SSD""}}","{""tags"": [""tag83"", ""asset"", ""group""], ""priority"": ""medium"", ""usage_type"": ""business""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-63""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 084,Fixed assets,Category_084,SubCategory_084,"Description for Asset Group 084, categorized under Category_084.","{""image_url"": ""/uploads/assets/asset_084.jpg"", ""alt_text"": ""Asset Group 084""}","{""brand"": ""Brand_84"", ""model"": ""Model_84"", ""year"": 2020, ""specifications"": {""cpu"": ""Intel i3"", ""ram"": ""8GB"", ""storage"": ""768GB SSD""}}","{""tags"": [""tag84"", ""asset"", ""group""], ""priority"": ""low"", ""usage_type"": ""continuous""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-64""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 085,Fixed assets,Category_085,SubCategory_085,"Description for Asset Group 085, categorized under Category_085.","{""image_url"": ""/uploads/assets/asset_085.jpg"", ""alt_text"": ""Asset Group 085""}","{""brand"": ""Brand_85"", ""model"": ""Model_85"", ""year"": 2021, ""specifications"": {""cpu"": ""Intel i4"", ""ram"": ""12GB"", ""storage"": ""256GB SSD""}}","{""tags"": [""tag85"", ""asset"", ""group""], ""priority"": ""critical"", ""usage_type"": ""continuous""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-65""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 086,Tangible assets,Category_086,SubCategory_086,"Description for Asset Group 086, categorized under Category_086.","{""image_url"": ""/uploads/assets/asset_086.jpg"", ""alt_text"": ""Asset Group 086""}","{""brand"": ""Brand_86"", ""model"": ""Model_86"", ""year"": 2022, ""specifications"": {""cpu"": ""Intel i5"", ""ram"": ""16GB"", ""storage"": ""384GB SSD""}}","{""tags"": [""tag86"", ""asset"", ""group""], ""priority"": ""low"", ""usage_type"": ""daily""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-66""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
