name,asset_category_name,description,is_active
Sub Category 731,Category 31,Description for sub category 731,1
Sub Category 732,Category 32,Description for sub category 732,1
Sub Category 733,Category 33,Description for sub category 733,1
Sub Category 734,Category 34,Description for sub category 734,1
Sub Category 735,Category 35,Description for sub category 735,1
Sub Category 736,Category 36,Description for sub category 736,1
Sub Category 737,Category 37,Description for sub category 737,1
Sub Category 738,Category 38,Description for sub category 738,1
Sub Category 739,Category 39,Description for sub category 739,1
Sub Category 740,Category 40,Description for sub category 740,1
Sub Category 741,Category 41,Description for sub category 741,1
Sub Category 742,Category 42,Description for sub category 742,1
Sub Category 743,Category 43,Description for sub category 743,1
Sub Category 744,Category 44,Description for sub category 744,1
Sub Category 745,Category 45,Description for sub category 745,1
Sub Category 746,Category 46,Description for sub category 746,1
Sub Category 747,Category 47,Description for sub category 747,1
Sub Category 748,Category 48,Description for sub category 748,1
Sub Category 749,Category 49,Description for sub category 749,1
Sub Category 750,Category 50,Description for sub category 750,1
Sub Category 751,Category 51,Description for sub category 751,1
Sub Category 752,Category 52,Description for sub category 752,1
Sub Category 753,Category 53,Description for sub category 753,1
Sub Category 754,Category 54,Description for sub category 754,1
Sub Category 755,Category 55,Description for sub category 755,1
Sub Category 756,Category 56,Description for sub category 756,1
Sub Category 757,Category 57,Description for sub category 757,1
Sub Category 758,Category 58,Description for sub category 758,1
Sub Category 759,Category 59,Description for sub category 759,1
Sub Category 760,Category 60,Description for sub category 760,1
Sub Category 761,Category 61,Description for sub category 761,1
Sub Category 762,Category 62,Description for sub category 762,1
Sub Category 763,Category 63,Description for sub category 763,1
Sub Category 764,Category 64,Description for sub category 764,1
Sub Category 765,Category 65,Description for sub category 765,1
Sub Category 766,Category 66,Description for sub category 766,1
Sub Category 767,Category 67,Description for sub category 767,1
Sub Category 768,Category 68,Description for sub category 768,1
Sub Category 769,Category 69,Description for sub category 769,1
Sub Category 770,Category 70,Description for sub category 770,1
Sub Category 771,Category 71,Description for sub category 771,1
Sub Category 772,Category 72,Description for sub category 772,1
Sub Category 773,Category 73,Description for sub category 773,1
Sub Category 774,Category 74,Description for sub category 774,1
Sub Category 775,Category 75,Description for sub category 775,1
Sub Category 776,Category 76,Description for sub category 776,1
Sub Category 777,Category 77,Description for sub category 777,1
Sub Category 778,Category 78,Description for sub category 778,1
Sub Category 779,Category 79,Description for sub category 779,1
Sub Category 780,Category 80,Description for sub category 780,1
Sub Category 781,Category 81,Description for sub category 781,1
Sub Category 782,Category 82,Description for sub category 782,1
Sub Category 783,Category 83,Description for sub category 783,1
Sub Category 784,Category 84,Description for sub category 784,1
Sub Category 785,Category 85,Description for sub category 785,1
Sub Category 786,Category 86,Description for sub category 786,1
Sub Category 787,Category 87,Description for sub category 787,1
Sub Category 788,Category 88,Description for sub category 788,1
Sub Category 789,Category 89,Description for sub category 789,1
Sub Category 790,Category 90,Description for sub category 790,1
Sub Category 791,Category 91,Description for sub category 791,1
Sub Category 792,Category 92,Description for sub category 792,1
Sub Category 793,Category 93,Description for sub category 793,1
Sub Category 794,Category 94,Description for sub category 794,1
Sub Category 795,Category 95,Description for sub category 795,1
Sub Category 796,Category 96,Description for sub category 796,1
Sub Category 797,Category 97,Description for sub category 797,1
Sub Category 798,Category 98,Description for sub category 798,1
Sub Category 799,Category 99,Description for sub category 799,1
Sub Category 800,Category 100,Description for sub category 800,1
Sub Category 801,Category 1,Description for sub category 801,1
Sub Category 802,Category 2,Description for sub category 802,1
Sub Category 803,Category 3,Description for sub category 803,1
Sub Category 804,Category 4,Description for sub category 804,1
Sub Category 805,Category 5,Description for sub category 805,1
Sub Category 806,Category 6,Description for sub category 806,1
Sub Category 807,Category 7,Description for sub category 807,1
Sub Category 808,Category 8,Description for sub category 808,1
Sub Category 809,Category 9,Description for sub category 809,1
Sub Category 810,Category 10,Description for sub category 810,1
Sub Category 811,Category 11,Description for sub category 811,1
Sub Category 812,Category 12,Description for sub category 812,1
Sub Category 813,Category 13,Description for sub category 813,1
Sub Category 814,Category 14,Description for sub category 814,1
Sub Category 815,Category 15,Description for sub category 815,1
Sub Category 816,Category 16,Description for sub category 816,1
Sub Category 817,Category 17,Description for sub category 817,1
Sub Category 818,Category 18,Description for sub category 818,1
Sub Category 819,Category 19,Description for sub category 819,1
Sub Category 820,Category 20,Description for sub category 820,1
Sub Category 821,Category 21,Description for sub category 821,1
Sub Category 822,Category 22,Description for sub category 822,1
Sub Category 823,Category 23,Description for sub category 823,1
Sub Category 824,Category 24,Description for sub category 824,1
Sub Category 825,Category 25,Description for sub category 825,1
Sub Category 826,Category 26,Description for sub category 826,1
Sub Category 827,Category 27,Description for sub category 827,1
Sub Category 828,Category 28,Description for sub category 828,1
Sub Category 829,Category 29,Description for sub category 829,1
Sub Category 830,Category 30,Description for sub category 830,1
Sub Category 831,Category 31,Description for sub category 831,1
Sub Category 832,Category 32,Description for sub category 832,1
Sub Category 833,Category 33,Description for sub category 833,1
Sub Category 834,Category 34,Description for sub category 834,1
Sub Category 835,Category 35,Description for sub category 835,1
Sub Category 836,Category 36,Description for sub category 836,1
Sub Category 837,Category 37,Description for sub category 837,1
Sub Category 838,Category 38,Description for sub category 838,1
Sub Category 839,Category 39,Description for sub category 839,1
Sub Category 840,Category 40,Description for sub category 840,1
Sub Category 841,Category 41,Description for sub category 841,1
Sub Category 842,Category 42,Description for sub category 842,1
Sub Category 843,Category 43,Description for sub category 843,1
Sub Category 844,Category 44,Description for sub category 844,1
Sub Category 845,Category 45,Description for sub category 845,1
Sub Category 846,Category 46,Description for sub category 846,1
Sub Category 847,Category 47,Description for sub category 847,1
Sub Category 848,Category 48,Description for sub category 848,1
Sub Category 849,Category 49,Description for sub category 849,1
Sub Category 850,Category 50,Description for sub category 850,1
Sub Category 851,Category 51,Description for sub category 851,1
Sub Category 852,Category 52,Description for sub category 852,1
Sub Category 853,Category 53,Description for sub category 853,1
Sub Category 854,Category 54,Description for sub category 854,1
Sub Category 855,Category 55,Description for sub category 855,1
Sub Category 856,Category 56,Description for sub category 856,1
Sub Category 857,Category 57,Description for sub category 857,1
Sub Category 858,Category 58,Description for sub category 858,1
Sub Category 859,Category 59,Description for sub category 859,1
Sub Category 860,Category 60,Description for sub category 860,1
Sub Category 861,Category 61,Description for sub category 861,1
Sub Category 862,Category 62,Description for sub category 862,1
Sub Category 863,Category 63,Description for sub category 863,1
Sub Category 864,Category 64,Description for sub category 864,1
Sub Category 865,Category 65,Description for sub category 865,1
Sub Category 866,Category 66,Description for sub category 866,1
Sub Category 867,Category 67,Description for sub category 867,1
Sub Category 868,Category 68,Description for sub category 868,1
Sub Category 869,Category 69,Description for sub category 869,1
Sub Category 870,Category 70,Description for sub category 870,1
Sub Category 871,Category 71,Description for sub category 871,1
Sub Category 872,Category 72,Description for sub category 872,1
Sub Category 873,Category 73,Description for sub category 873,1
Sub Category 874,Category 74,Description for sub category 874,1
Sub Category 875,Category 75,Description for sub category 875,1
Sub Category 876,Category 76,Description for sub category 876,1
Sub Category 877,Category 77,Description for sub category 877,1
Sub Category 878,Category 78,Description for sub category 878,1
Sub Category 879,Category 79,Description for sub category 879,1
Sub Category 880,Category 80,Description for sub category 880,1
Sub Category 881,Category 81,Description for sub category 881,1
Sub Category 882,Category 82,Description for sub category 882,1
Sub Category 883,Category 83,Description for sub category 883,1
Sub Category 884,Category 84,Description for sub category 884,1
Sub Category 885,Category 85,Description for sub category 885,1
Sub Category 886,Category 86,Description for sub category 886,1
Sub Category 887,Category 87,Description for sub category 887,1
Sub Category 888,Category 88,Description for sub category 888,1
Sub Category 889,Category 89,Description for sub category 889,1
Sub Category 890,Category 90,Description for sub category 890,1
Sub Category 891,Category 91,Description for sub category 891,1
Sub Category 892,Category 92,Description for sub category 892,1
Sub Category 893,Category 93,Description for sub category 893,1
Sub Category 894,Category 94,Description for sub category 894,1
Sub Category 895,Category 95,Description for sub category 895,1
Sub Category 896,Category 96,Description for sub category 896,1
Sub Category 897,Category 97,Description for sub category 897,1
Sub Category 898,Category 98,Description for sub category 898,1
Sub Category 899,Category 99,Description for sub category 899,1
Sub Category 900,Category 100,Description for sub category 900,1
Sub Category 901,Category 1,Description for sub category 901,1
Sub Category 902,Category 2,Description for sub category 902,1
Sub Category 903,Category 3,Description for sub category 903,1
Sub Category 904,Category 4,Description for sub category 904,1
Sub Category 905,Category 5,Description for sub category 905,1
Sub Category 906,Category 6,Description for sub category 906,1
Sub Category 907,Category 7,Description for sub category 907,1
Sub Category 908,Category 8,Description for sub category 908,1
Sub Category 909,Category 9,Description for sub category 909,1
Sub Category 910,Category 10,Description for sub category 910,1
Sub Category 911,Category 11,Description for sub category 911,1
Sub Category 912,Category 12,Description for sub category 912,1
Sub Category 913,Category 13,Description for sub category 913,1
Sub Category 914,Category 14,Description for sub category 914,1
Sub Category 915,Category 15,Description for sub category 915,1
Sub Category 916,Category 16,Description for sub category 916,1
Sub Category 917,Category 17,Description for sub category 917,1
Sub Category 918,Category 18,Description for sub category 918,1
Sub Category 919,Category 19,Description for sub category 919,1
Sub Category 920,Category 20,Description for sub category 920,1
Sub Category 921,Category 21,Description for sub category 921,1
Sub Category 922,Category 22,Description for sub category 922,1
Sub Category 923,Category 23,Description for sub category 923,1
Sub Category 924,Category 24,Description for sub category 924,1
Sub Category 925,Category 25,Description for sub category 925,1
Sub Category 926,Category 26,Description for sub category 926,1
Sub Category 927,Category 27,Description for sub category 927,1
Sub Category 928,Category 28,Description for sub category 928,1
Sub Category 929,Category 29,Description for sub category 929,1
Sub Category 930,Category 30,Description for sub category 930,1
Sub Category 931,Category 31,Description for sub category 931,1
Sub Category 932,Category 32,Description for sub category 932,1
Sub Category 933,Category 33,Description for sub category 933,1
Sub Category 934,Category 34,Description for sub category 934,1
Sub Category 935,Category 35,Description for sub category 935,1
Sub Category 936,Category 36,Description for sub category 936,1
Sub Category 937,Category 37,Description for sub category 937,1
Sub Category 938,Category 38,Description for sub category 938,1
Sub Category 939,Category 39,Description for sub category 939,1
Sub Category 940,Category 40,Description for sub category 940,1
Sub Category 941,Category 41,Description for sub category 941,1
Sub Category 942,Category 42,Description for sub category 942,1
Sub Category 943,Category 43,Description for sub category 943,1
Sub Category 944,Category 44,Description for sub category 944,1
Sub Category 945,Category 45,Description for sub category 945,1
Sub Category 946,Category 46,Description for sub category 946,1
Sub Category 947,Category 47,Description for sub category 947,1
Sub Category 948,Category 48,Description for sub category 948,1
Sub Category 949,Category 49,Description for sub category 949,1
Sub Category 950,Category 50,Description for sub category 950,1
Sub Category 951,Category 51,Description for sub category 951,1
Sub Category 952,Category 52,Description for sub category 952,1
Sub Category 953,Category 53,Description for sub category 953,1
Sub Category 954,Category 54,Description for sub category 954,1
Sub Category 955,Category 55,Description for sub category 955,1
Sub Category 956,Category 56,Description for sub category 956,1
Sub Category 957,Category 57,Description for sub category 957,1
Sub Category 958,Category 58,Description for sub category 958,1
Sub Category 959,Category 59,Description for sub category 959,1
Sub Category 960,Category 60,Description for sub category 960,1
Sub Category 961,Category 61,Description for sub category 961,1
Sub Category 962,Category 62,Description for sub category 962,1
Sub Category 963,Category 63,Description for sub category 963,1
Sub Category 964,Category 64,Description for sub category 964,1
Sub Category 965,Category 65,Description for sub category 965,1
Sub Category 966,Category 66,Description for sub category 966,1
Sub Category 967,Category 67,Description for sub category 967,1
Sub Category 968,Category 68,Description for sub category 968,1
Sub Category 969,Category 69,Description for sub category 969,1
Sub Category 970,Category 70,Description for sub category 970,1
Sub Category 971,Category 71,Description for sub category 971,1
Sub Category 972,Category 72,Description for sub category 972,1
Sub Category 973,Category 73,Description for sub category 973,1
Sub Category 974,Category 74,Description for sub category 974,1
Sub Category 975,Category 75,Description for sub category 975,1
Sub Category 976,Category 76,Description for sub category 976,1
Sub Category 977,Category 77,Description for sub category 977,1
Sub Category 978,Category 78,Description for sub category 978,1
Sub Category 979,Category 79,Description for sub category 979,1
Sub Category 980,Category 80,Description for sub category 980,1
Sub Category 981,Category 81,Description for sub category 981,1
Sub Category 982,Category 82,Description for sub category 982,1
Sub Category 983,Category 83,Description for sub category 983,1
Sub Category 984,Category 84,Description for sub category 984,1
Sub Category 985,Category 85,Description for sub category 985,1
Sub Category 986,Category 86,Description for sub category 986,1
Sub Category 987,Category 87,Description for sub category 987,1
Sub Category 988,Category 88,Description for sub category 988,1
Sub Category 989,Category 89,Description for sub category 989,1
Sub Category 990,Category 90,Description for sub category 990,1
Sub Category 991,Category 91,Description for sub category 991,1
Sub Category 992,Category 92,Description for sub category 992,1
Sub Category 993,Category 93,Description for sub category 993,1
Sub Category 994,Category 94,Description for sub category 994,1
Sub Category 995,Category 95,Description for sub category 995,1
Sub Category 996,Category 96,Description for sub category 996,1
Sub Category 997,Category 97,Description for sub category 997,1
Sub Category 998,Category 98,Description for sub category 998,1
Sub Category 999,Category 99,Description for sub category 999,1
Sub Category 1000,Category 100,Description for sub category 1000,1
Sub Category 1001,Category 1,Description for sub category 1001,1
Sub Category 1002,Category 2,Description for sub category 1002,1
Sub Category 1003,Category 3,Description for sub category 1003,1
Sub Category 1004,Category 4,Description for sub category 1004,1
Sub Category 1005,Category 5,Description for sub category 1005,1
Sub Category 1006,Category 6,Description for sub category 1006,1
Sub Category 1007,Category 7,Description for sub category 1007,1
Sub Category 1008,Category 8,Description for sub category 1008,1
Sub Category 1009,Category 9,Description for sub category 1009,1
Sub Category 1010,Category 10,Description for sub category 1010,1
Sub Category 1011,Category 11,Description for sub category 1011,1
Sub Category 1012,Category 12,Description for sub category 1012,1
Sub Category 1013,Category 13,Description for sub category 1013,1
Sub Category 1014,Category 14,Description for sub category 1014,1
Sub Category 1015,Category 15,Description for sub category 1015,1
Sub Category 1016,Category 16,Description for sub category 1016,1
Sub Category 1017,Category 17,Description for sub category 1017,1
Sub Category 1018,Category 18,Description for sub category 1018,1
Sub Category 1019,Category 19,Description for sub category 1019,1
Sub Category 1020,Category 20,Description for sub category 1020,1
Sub Category 1021,Category 21,Description for sub category 1021,1
Sub Category 1022,Category 22,Description for sub category 1022,1
Sub Category 1023,Category 23,Description for sub category 1023,1
Sub Category 1024,Category 24,Description for sub category 1024,1
Sub Category 1025,Category 25,Description for sub category 1025,1
Sub Category 1026,Category 26,Description for sub category 1026,1
Sub Category 1027,Category 27,Description for sub category 1027,1
Sub Category 1028,Category 28,Description for sub category 1028,1
Sub Category 1029,Category 29,Description for sub category 1029,1
Sub Category 1030,Category 30,Description for sub category 1030,1
Sub Category 1031,Category 31,Description for sub category 1031,1
Sub Category 1032,Category 32,Description for sub category 1032,1
Sub Category 1033,Category 33,Description for sub category 1033,1
Sub Category 1034,Category 34,Description for sub category 1034,1
Sub Category 1035,Category 35,Description for sub category 1035,1
Sub Category 1036,Category 36,Description for sub category 1036,1
Sub Category 1037,Category 37,Description for sub category 1037,1
Sub Category 1038,Category 38,Description for sub category 1038,1
Sub Category 1039,Category 39,Description for sub category 1039,1
Sub Category 1040,Category 40,Description for sub category 1040,1
Sub Category 1041,Category 41,Description for sub category 1041,1
Sub Category 1042,Category 42,Description for sub category 1042,1
Sub Category 1043,Category 43,Description for sub category 1043,1
Sub Category 1044,Category 44,Description for sub category 1044,1
Sub Category 1045,Category 45,Description for sub category 1045,1
Sub Category 1046,Category 46,Description for sub category 1046,1
Sub Category 1047,Category 47,Description for sub category 1047,1
Sub Category 1048,Category 48,Description for sub category 1048,1
Sub Category 1049,Category 49,Description for sub category 1049,1
Sub Category 1050,Category 50,Description for sub category 1050,1
Sub Category 1051,Category 51,Description for sub category 1051,1
Sub Category 1052,Category 52,Description for sub category 1052,1
Sub Category 1053,Category 53,Description for sub category 1053,1
Sub Category 1054,Category 54,Description for sub category 1054,1
Sub Category 1055,Category 55,Description for sub category 1055,1
Sub Category 1056,Category 56,Description for sub category 1056,1
Sub Category 1057,Category 57,Description for sub category 1057,1
Sub Category 1058,Category 58,Description for sub category 1058,1
Sub Category 1059,Category 59,Description for sub category 1059,1
Sub Category 1060,Category 60,Description for sub category 1060,1
Sub Category 1061,Category 61,Description for sub category 1061,1
Sub Category 1062,Category 62,Description for sub category 1062,1
Sub Category 1063,Category 63,Description for sub category 1063,1
Sub Category 1064,Category 64,Description for sub category 1064,1
Sub Category 1065,Category 65,Description for sub category 1065,1
Sub Category 1066,Category 66,Description for sub category 1066,1
Sub Category 1067,Category 67,Description for sub category 1067,1
Sub Category 1068,Category 68,Description for sub category 1068,1
Sub Category 1069,Category 69,Description for sub category 1069,1
Sub Category 1070,Category 70,Description for sub category 1070,1
Sub Category 1071,Category 71,Description for sub category 1071,1
Sub Category 1072,Category 72,Description for sub category 1072,1
Sub Category 1073,Category 73,Description for sub category 1073,1
Sub Category 1074,Category 74,Description for sub category 1074,1
Sub Category 1075,Category 75,Description for sub category 1075,1
Sub Category 1076,Category 76,Description for sub category 1076,1
Sub Category 1077,Category 77,Description for sub category 1077,1
Sub Category 1078,Category 78,Description for sub category 1078,1
Sub Category 1079,Category 79,Description for sub category 1079,1
Sub Category 1080,Category 80,Description for sub category 1080,1
Sub Category 1081,Category 81,Description for sub category 1081,1
Sub Category 1082,Category 82,Description for sub category 1082,1
Sub Category 1083,Category 83,Description for sub category 1083,1
Sub Category 1084,Category 84,Description for sub category 1084,1
Sub Category 1085,Category 85,Description for sub category 1085,1
Sub Category 1086,Category 86,Description for sub category 1086,1
Sub Category 1087,Category 87,Description for sub category 1087,1
Sub Category 1088,Category 88,Description for sub category 1088,1
Sub Category 1089,Category 89,Description for sub category 1089,1
Sub Category 1090,Category 90,Description for sub category 1090,1
Sub Category 1091,Category 91,Description for sub category 1091,1
Sub Category 1092,Category 92,Description for sub category 1092,1
Sub Category 1093,Category 93,Description for sub category 1093,1
Sub Category 1094,Category 94,Description for sub category 1094,1
Sub Category 1095,Category 95,Description for sub category 1095,1
Sub Category 1096,Category 96,Description for sub category 1096,1
Sub Category 1097,Category 97,Description for sub category 1097,1
Sub Category 1098,Category 98,Description for sub category 1098,1
Sub Category 1099,Category 99,Description for sub category 1099,1
Sub Category 1100,Category 100,Description for sub category 1100,1
Sub Category 1101,Category 1,Description for sub category 1101,1
Sub Category 1102,Category 2,Description for sub category 1102,1
Sub Category 1103,Category 3,Description for sub category 1103,1
Sub Category 1104,Category 4,Description for sub category 1104,1
Sub Category 1105,Category 5,Description for sub category 1105,1
Sub Category 1106,Category 6,Description for sub category 1106,1
Sub Category 1107,Category 7,Description for sub category 1107,1
Sub Category 1108,Category 8,Description for sub category 1108,1
Sub Category 1109,Category 9,Description for sub category 1109,1
Sub Category 1110,Category 10,Description for sub category 1110,1
Sub Category 1111,Category 11,Description for sub category 1111,1
Sub Category 1112,Category 12,Description for sub category 1112,1
Sub Category 1113,Category 13,Description for sub category 1113,1
Sub Category 1114,Category 14,Description for sub category 1114,1
Sub Category 1115,Category 15,Description for sub category 1115,1
Sub Category 1116,Category 16,Description for sub category 1116,1
Sub Category 1117,Category 17,Description for sub category 1117,1
Sub Category 1118,Category 18,Description for sub category 1118,1
Sub Category 1119,Category 19,Description for sub category 1119,1
Sub Category 1120,Category 20,Description for sub category 1120,1
Sub Category 1121,Category 21,Description for sub category 1121,1
Sub Category 1122,Category 22,Description for sub category 1122,1
Sub Category 1123,Category 23,Description for sub category 1123,1
Sub Category 1124,Category 24,Description for sub category 1124,1
Sub Category 1125,Category 25,Description for sub category 1125,1
Sub Category 1126,Category 26,Description for sub category 1126,1
Sub Category 1127,Category 27,Description for sub category 1127,1
Sub Category 1128,Category 28,Description for sub category 1128,1
Sub Category 1129,Category 29,Description for sub category 1129,1
Sub Category 1130,Category 30,Description for sub category 1130,1
Sub Category 1131,Category 31,Description for sub category 1131,1
Sub Category 1132,Category 32,Description for sub category 1132,1
Sub Category 1133,Category 33,Description for sub category 1133,1
Sub Category 1134,Category 34,Description for sub category 1134,1
Sub Category 1135,Category 35,Description for sub category 1135,1
Sub Category 1136,Category 36,Description for sub category 1136,1
Sub Category 1137,Category 37,Description for sub category 1137,1
Sub Category 1138,Category 38,Description for sub category 1138,1
Sub Category 1139,Category 39,Description for sub category 1139,1
Sub Category 1140,Category 40,Description for sub category 1140,1
Sub Category 1141,Category 41,Description for sub category 1141,1
Sub Category 1142,Category 42,Description for sub category 1142,1
Sub Category 1143,Category 43,Description for sub category 1143,1
Sub Category 1144,Category 44,Description for sub category 1144,1
Sub Category 1145,Category 45,Description for sub category 1145,1
Sub Category 1146,Category 46,Description for sub category 1146,1
Sub Category 1147,Category 47,Description for sub category 1147,1
Sub Category 1148,Category 48,Description for sub category 1148,1
Sub Category 1149,Category 49,Description for sub category 1149,1
Sub Category 1150,Category 50,Description for sub category 1150,1
Sub Category 1151,Category 51,Description for sub category 1151,1
Sub Category 1152,Category 52,Description for sub category 1152,1
Sub Category 1153,Category 53,Description for sub category 1153,1
Sub Category 1154,Category 54,Description for sub category 1154,1
Sub Category 1155,Category 55,Description for sub category 1155,1
Sub Category 1156,Category 56,Description for sub category 1156,1
Sub Category 1157,Category 57,Description for sub category 1157,1
Sub Category 1158,Category 58,Description for sub category 1158,1
Sub Category 1159,Category 59,Description for sub category 1159,1
Sub Category 1160,Category 60,Description for sub category 1160,1
Sub Category 1161,Category 61,Description for sub category 1161,1
Sub Category 1162,Category 62,Description for sub category 1162,1
Sub Category 1163,Category 63,Description for sub category 1163,1
Sub Category 1164,Category 64,Description for sub category 1164,1
Sub Category 1165,Category 65,Description for sub category 1165,1
Sub Category 1166,Category 66,Description for sub category 1166,1
Sub Category 1167,Category 67,Description for sub category 1167,1
Sub Category 1168,Category 68,Description for sub category 1168,1
Sub Category 1169,Category 69,Description for sub category 1169,1
Sub Category 1170,Category 70,Description for sub category 1170,1
Sub Category 1171,Category 71,Description for sub category 1171,1
Sub Category 1172,Category 72,Description for sub category 1172,1
Sub Category 1173,Category 73,Description for sub category 1173,1
Sub Category 1174,Category 74,Description for sub category 1174,1
Sub Category 1175,Category 75,Description for sub category 1175,1
Sub Category 1176,Category 76,Description for sub category 1176,1
Sub Category 1177,Category 77,Description for sub category 1177,1
Sub Category 1178,Category 78,Description for sub category 1178,1
Sub Category 1179,Category 79,Description for sub category 1179,1
Sub Category 1180,Category 80,Description for sub category 1180,1
Sub Category 1181,Category 81,Description for sub category 1181,1
Sub Category 1182,Category 82,Description for sub category 1182,1
Sub Category 1183,Category 83,Description for sub category 1183,1
Sub Category 1184,Category 84,Description for sub category 1184,1
Sub Category 1185,Category 85,Description for sub category 1185,1
Sub Category 1186,Category 86,Description for sub category 1186,1
Sub Category 1187,Category 87,Description for sub category 1187,1
Sub Category 1188,Category 88,Description for sub category 1188,1
Sub Category 1189,Category 89,Description for sub category 1189,1
Sub Category 1190,Category 90,Description for sub category 1190,1
Sub Category 1191,Category 91,Description for sub category 1191,1
Sub Category 1192,Category 92,Description for sub category 1192,1
Sub Category 1193,Category 93,Description for sub category 1193,1
Sub Category 1194,Category 94,Description for sub category 1194,1
Sub Category 1195,Category 95,Description for sub category 1195,1
Sub Category 1196,Category 96,Description for sub category 1196,1
Sub Category 1197,Category 97,Description for sub category 1197,1
Sub Category 1198,Category 98,Description for sub category 1198,1
Sub Category 1199,Category 99,Description for sub category 1199,1
Sub Category 1200,Category 100,Description for sub category 1200,1
Sub Category 1201,Category 1,Description for sub category 1201,1
Sub Category 1202,Category 2,Description for sub category 1202,1
Sub Category 1203,Category 3,Description for sub category 1203,1
Sub Category 1204,Category 4,Description for sub category 1204,1
Sub Category 1205,Category 5,Description for sub category 1205,1
Sub Category 1206,Category 6,Description for sub category 1206,1
Sub Category 1207,Category 7,Description for sub category 1207,1
Sub Category 1208,Category 8,Description for sub category 1208,1
Sub Category 1209,Category 9,Description for sub category 1209,1
Sub Category 1210,Category 10,Description for sub category 1210,1
Sub Category 1211,Category 11,Description for sub category 1211,1
Sub Category 1212,Category 12,Description for sub category 1212,1
Sub Category 1213,Category 13,Description for sub category 1213,1
Sub Category 1214,Category 14,Description for sub category 1214,1
Sub Category 1215,Category 15,Description for sub category 1215,1
Sub Category 1216,Category 16,Description for sub category 1216,1
Sub Category 1217,Category 17,Description for sub category 1217,1
Sub Category 1218,Category 18,Description for sub category 1218,1
Sub Category 1219,Category 19,Description for sub category 1219,1
Sub Category 1220,Category 20,Description for sub category 1220,1
Sub Category 1221,Category 21,Description for sub category 1221,1
Sub Category 1222,Category 22,Description for sub category 1222,1
Sub Category 1223,Category 23,Description for sub category 1223,1
Sub Category 1224,Category 24,Description for sub category 1224,1
Sub Category 1225,Category 25,Description for sub category 1225,1
Sub Category 1226,Category 26,Description for sub category 1226,1
Sub Category 1227,Category 27,Description for sub category 1227,1
Sub Category 1228,Category 28,Description for sub category 1228,1
Sub Category 1229,Category 29,Description for sub category 1229,1
Sub Category 1230,Category 30,Description for sub category 1230,1
Sub Category 1231,Category 31,Description for sub category 1231,1
Sub Category 1232,Category 32,Description for sub category 1232,1
Sub Category 1233,Category 33,Description for sub category 1233,1
Sub Category 1234,Category 34,Description for sub category 1234,1
Sub Category 1235,Category 35,Description for sub category 1235,1
Sub Category 1236,Category 36,Description for sub category 1236,1
Sub Category 1237,Category 37,Description for sub category 1237,1
Sub Category 1238,Category 38,Description for sub category 1238,1
Sub Category 1239,Category 39,Description for sub category 1239,1
Sub Category 1240,Category 40,Description for sub category 1240,1
Sub Category 1241,Category 41,Description for sub category 1241,1
Sub Category 1242,Category 42,Description for sub category 1242,1
Sub Category 1243,Category 43,Description for sub category 1243,1
Sub Category 1244,Category 44,Description for sub category 1244,1
Sub Category 1245,Category 45,Description for sub category 1245,1
Sub Category 1246,Category 46,Description for sub category 1246,1
Sub Category 1247,Category 47,Description for sub category 1247,1
Sub Category 1248,Category 48,Description for sub category 1248,1
Sub Category 1249,Category 49,Description for sub category 1249,1
Sub Category 1250,Category 50,Description for sub category 1250,1
Sub Category 1251,Category 51,Description for sub category 1251,1
Sub Category 1252,Category 52,Description for sub category 1252,1
Sub Category 1253,Category 53,Description for sub category 1253,1
Sub Category 1254,Category 54,Description for sub category 1254,1
Sub Category 1255,Category 55,Description for sub category 1255,1
Sub Category 1256,Category 56,Description for sub category 1256,1
Sub Category 1257,Category 57,Description for sub category 1257,1
Sub Category 1258,Category 58,Description for sub category 1258,1
Sub Category 1259,Category 59,Description for sub category 1259,1
Sub Category 1260,Category 60,Description for sub category 1260,1
Sub Category 1261,Category 61,Description for sub category 1261,1
Sub Category 1262,Category 62,Description for sub category 1262,1
Sub Category 1263,Category 63,Description for sub category 1263,1
Sub Category 1264,Category 64,Description for sub category 1264,1
Sub Category 1265,Category 65,Description for sub category 1265,1
Sub Category 1266,Category 66,Description for sub category 1266,1
Sub Category 1267,Category 67,Description for sub category 1267,1
Sub Category 1268,Category 68,Description for sub category 1268,1
Sub Category 1269,Category 69,Description for sub category 1269,1
Sub Category 1270,Category 70,Description for sub category 1270,1
Sub Category 1271,Category 71,Description for sub category 1271,1
Sub Category 1272,Category 72,Description for sub category 1272,1
Sub Category 1273,Category 73,Description for sub category 1273,1
Sub Category 1274,Category 74,Description for sub category 1274,1
Sub Category 1275,Category 75,Description for sub category 1275,1
Sub Category 1276,Category 76,Description for sub category 1276,1
Sub Category 1277,Category 77,Description for sub category 1277,1
Sub Category 1278,Category 78,Description for sub category 1278,1
Sub Category 1279,Category 79,Description for sub category 1279,1
Sub Category 1280,Category 80,Description for sub category 1280,1
Sub Category 1281,Category 81,Description for sub category 1281,1
Sub Category 1282,Category 82,Description for sub category 1282,1
Sub Category 1283,Category 83,Description for sub category 1283,1
Sub Category 1284,Category 84,Description for sub category 1284,1
Sub Category 1285,Category 85,Description for sub category 1285,1
Sub Category 1286,Category 86,Description for sub category 1286,1
Sub Category 1287,Category 87,Description for sub category 1287,1
Sub Category 1288,Category 88,Description for sub category 1288,1
